user,item,rating,timestamp,feature Str,feature_second,feature_third,feature_forth,feature_fifth
86,35,25.1,2020,Teens,30.83,Nintendo Switch,Low,Excellent
87,31,28.6,2011,All Ages,40.75,PlayStation,Medium,Average
88,36,35.7,2016,Adults,38.12,Mobile,Low,Excellent
89,6,34.7,2020,Kids,45.83,PC,Ultra,Excellent
90,0,44.1,2011,Kids,57.59,PlayStation,Low,Poor
91,16,32.6,2017,Adults,48.69,Xbox,Ultra,Excellent
92,30,32.4,2019,Teens,27.4,Nintendo Switch,Low,Poor
93,23,31.1,2019,Adults,40.03,PlayStation,High,Average
94,19,33.2,2020,Kids,52.77,Xbox,Low,Poor
95,16,17.1,2017,Kids,26.03,PlayStation,Medium,Average
96,28,28.4,2011,All Ages,34.56,Xbox,Medium,Poor
97,30,20.2,2020,All Ages,31.09,PC,High,Good
98,4,21.4,2011,Adults,21.57,Xbox,High,Good
99,4,46.1,2017,Kids,56.41,Mobile,Medium,Good
100,2,40.5,2010,All Ages,49.64,Xbox,Low,Average
101,26,13.9,2018,Kids,27.04,Nintendo Switch,Low,Good
102,30,20.9,2018,All Ages,36.55,Xbox,Ultra,Average
103,20,20.8,2022,Teens,36.65,Nintendo Switch,Low,Excellent
104,24,22.2,2010,Teens,26.35,PlayStation,High,Average
105,37,18.5,2015,All Ages,33.68,Nintendo Switch,Low,Excellent
106,12,25.3,2022,Adults,23.24,Mobile,Ultra,Excellent
107,20,38.5,2020,Kids,43.33,Xbox,Medium,Poor
108,29,26.7,2010,All Ages,30.02,PlayStation,Medium,Poor
109,33,34.9,2015,All Ages,30.36,Nintendo Switch,High,Average
110,32,34.9,2012,Adults,46.36,Nintendo Switch,Low,Good
111,33,23.1,2014,Adults,33.54,Mobile,Ultra,Average
112,18,31.8,2022,All Ages,53.31,Mobile,High,Poor
113,29,30.7,2012,Teens,52.02,Nintendo Switch,High,Poor
114,38,22.6,2019,Kids,25.89,Mobile,High,Poor
115,21,32.4,2023,Teens,32.89,Xbox,Low,Excellent
116,39,34.7,2017,All Ages,46.59,PC,Ultra,Excellent
117,31,36.3,2021,Adults,49.62,PC,High,Average
118,12,37.7,2018,All Ages,58.56,PlayStation,High,Excellent
119,30,32.4,2023,Teens,55.08,PC,Low,Good
120,4,36.7,2023,Adults,41.67,Mobile,Ultra,Average
121,8,23.3,2019,Kids,25.5,PlayStation,Low,Average
122,35,26.6,2012,Kids,35.69,PlayStation,Ultra,Excellent
123,7,46.0,2019,Teens,58.75,PlayStation,High,Excellent
124,38,20.7,2022,Kids,30.91,PlayStation,High,Average
125,19,36.4,2020,Adults,45.34,Nintendo Switch,Medium,Excellent
126,32,28.7,2016,Kids,34.04,PC,Low,Good
127,7,25.2,2016,All Ages,42.13,Mobile,Ultra,Poor
128,23,21.6,2016,Kids,40.71,PlayStation,High,Excellent
129,18,25.3,2015,Kids,39.72,PC,Medium,Good
130,17,44.4,2019,All Ages,57.16,Nintendo Switch,Ultra,Poor
131,2,15.7,2013,All Ages,26.36,PlayStation,Low,Good
132,27,22.8,2020,Adults,20.09,Mobile,High,Good
133,16,30.6,2014,All Ages,22.76,PlayStation,Ultra,Good
134,0,37.4,2014,Teens,41.74,PlayStation,Low,Poor
135,6,18.6,2018,Adults,27.5,Mobile,High,Excellent
136,10,44.5,2019,Kids,59.38,Xbox,Ultra,Good
137,22,29.1,2017,Teens,43.67,Xbox,Low,Good
138,3,24.9,2019,All Ages,24.22,PC,Medium,Good
139,34,24.4,2011,Teens,34.76,Nintendo Switch,Ultra,Poor
140,23,36.9,2017,Adults,47.1,Mobile,Ultra,Average
141,37,36.0,2023,Teens,41.71,Mobile,Low,Average
142,24,11.3,2021,Kids,22.13,Nintendo Switch,Medium,Good
143,1,28.7,2016,Adults,55.7,PlayStation,Low,Excellent
144,36,33.4,2011,Teens,41.42,PC,Ultra,Good
145,35,30.0,2011,Adults,46.11,Mobile,Ultra,Average
146,6,19.6,2013,Teens,23.8,Xbox,Low,Average
147,24,26.2,2023,All Ages,34.03,PC,Low,Good
148,30,41.7,2019,All Ages,50.29,PlayStation,High,Average
149,5,46.3,2011,Kids,56.32,Nintendo Switch,Medium,Good
150,37,23.6,2013,All Ages,30.93,PlayStation,High,Average
151,7,25.5,2020,All Ages,49.92,PC,Low,Excellent
152,3,37.3,2011,All Ages,49.87,PlayStation,Medium,Average
153,15,15.6,2019,Kids,29.06,Mobile,Medium,Good
154,15,25.0,2020,Teens,28.1,Xbox,Ultra,Poor
155,31,37.1,2018,All Ages,54.73,Xbox,Low,Good
156,25,31.3,2023,Adults,25.51,Nintendo Switch,Medium,Good
157,10,41.7,2021,Teens,49.4,Mobile,Medium,Excellent
158,3,29.2,2023,Teens,45.77,PlayStation,High,Excellent
159,31,31.4,2018,Adults,31.55,Xbox,High,Average
160,15,23.7,2018,All Ages,41.99,PC,Medium,Excellent
161,4,29.1,2018,Adults,39.66,Xbox,High,Average
162,36,29.6,2011,Kids,55.91,PC,Medium,Excellent
163,8,19.4,2015,Adults,25.85,Xbox,Low,Poor
164,11,28.1,2020,All Ages,35.93,PC,Low,Poor
165,37,13.2,2017,Adults,21.5,PC,High,Good
166,17,16.3,2016,Adults,24.13,Mobile,Medium,Excellent
167,16,30.5,2011,Kids,39.51,Nintendo Switch,Ultra,Good
168,32,40.0,2021,Kids,48.02,Mobile,Ultra,Poor
169,2,48.1,2014,Kids,58.08,Xbox,High,Poor
170,23,28.6,2013,Kids,48.91,PlayStation,Ultra,Good
171,9,23.8,2012,All Ages,35.97,PC,Ultra,Average
172,8,33.0,2020,Adults,56.19,PC,Medium,Average
173,12,25.7,2019,Adults,32.74,Xbox,Medium,Good
174,32,34.4,2018,Adults,40.54,Nintendo Switch,High,Average
175,25,29.3,2021,Teens,27.66,Xbox,Low,Excellent
176,18,16.3,2010,Kids,26.36,Xbox,Ultra,Average
177,20,22.3,2016,All Ages,23.28,Mobile,High,Average
178,16,34.0,2020,Teens,52.55,Xbox,Medium,Excellent
179,5,25.9,2012,Kids,45.91,PC,Ultra,Good
180,21,35.3,2011,Adults,54.41,Mobile,High,Good
181,8,21.2,2021,Kids,30.33,PlayStation,Low,Good
182,18,27.6,2011,Teens,22.68,Mobile,Ultra,Good
183,28,22.5,2021,Teens,38.44,Mobile,Ultra,Poor
184,22,18.3,2023,Teens,26.95,PlayStation,Medium,Poor
185,36,33.7,2016,Kids,57.33,PC,Low,Excellent
186,6,28.1,2023,Teens,28.82,Xbox,Ultra,Poor
187,29,20.5,2012,Adults,26.23,Mobile,Ultra,Excellent
188,27,34.3,2012,All Ages,39.69,PC,Low,Poor
189,4,34.9,2019,Adults,44.52,PlayStation,Ultra,Good
190,29,34.5,2011,Teens,42.57,Nintendo Switch,High,Average
191,25,36.1,2021,Adults,40.84,Mobile,Medium,Average
192,13,37.6,2017,Teens,59.02,PlayStation,High,Poor
193,31,18.0,2012,Kids,25.87,Mobile,Low,Poor
194,11,29.9,2019,Adults,50.19,PlayStation,Low,Poor
195,14,17.2,2010,Teens,26.28,Nintendo Switch,Low,Good
196,29,26.4,2018,Teens,21.83,PlayStation,Medium,Average
197,34,28.3,2012,All Ages,40.43,PlayStation,Medium,Excellent
198,32,33.2,2012,Teens,27.33,Nintendo Switch,Ultra,Average
199,23,18.0,2010,Kids,26.11,PC,Ultra,Excellent
200,30,26.8,2019,Adults,32.59,PC,Medium,Average
201,25,30.8,2013,All Ages,31.07,PlayStation,Ultra,Excellent
202,31,27.2,2013,All Ages,39.65,PlayStation,High,Excellent
203,35,28.1,2023,Teens,25.38,Xbox,Medium,Good
204,1,34.8,2011,Adults,56.2,Xbox,Low,Average
205,16,32.1,2010,Teens,56.06,PlayStation,Low,Average
206,5,25.0,2017,Adults,24.34,Mobile,Low,Average
207,12,19.6,2022,Kids,21.02,PC,Medium,Average
208,9,32.9,2016,Teens,51.17,Nintendo Switch,High,Good
209,1,45.1,2019,Teens,59.79,Mobile,Medium,Good
210,14,31.4,2018,Kids,27.88,PlayStation,High,Excellent
211,4,26.1,2011,Adults,25.82,Nintendo Switch,Ultra,Good
212,5,22.6,2020,Kids,39.34,Nintendo Switch,Medium,Poor
213,25,39.0,2021,Teens,49.28,PC,High,Excellent
214,31,23.7,2021,Kids,38.82,PC,Medium,Good
215,37,33.6,2014,Teens,50.59,PlayStation,Medium,Average
216,33,23.7,2018,Adults,31.24,Xbox,Ultra,Poor
217,30,23.1,2016,All Ages,40.01,PC,High,Good
218,21,23.1,2017,Kids,41.66,Mobile,Ultra,Poor
219,12,37.0,2014,Adults,49.52,Nintendo Switch,Ultra,Excellent
220,3,32.2,2021,Teens,33.97,Nintendo Switch,Medium,Average
221,8,33.9,2020,Teens,35.46,PC,Medium,Poor
222,13,25.2,2023,All Ages,42.92,Mobile,Low,Excellent
223,33,21.6,2012,Adults,28.28,Nintendo Switch,Ultra,Average
224,39,29.5,2011,Kids,42.33,Nintendo Switch,Ultra,Average
225,16,35.2,2015,Teens,47.78,Mobile,High,Average
226,13,18.2,2020,Adults,21.5,PlayStation,Medium,Poor
227,11,37.4,2018,Kids,51.05,Xbox,Ultra,Excellent
228,10,31.7,2018,Teens,37.36,Mobile,High,Excellent
229,21,33.7,2013,Kids,42.6,Nintendo Switch,High,Excellent
230,15,23.0,2013,Adults,35.9,Mobile,Ultra,Poor
231,7,28.0,2010,All Ages,37.44,Xbox,High,Excellent
232,4,38.9,2010,Teens,47.71,Mobile,Low,Good
233,3,20.7,2020,Teens,30.71,Mobile,Low,Good
234,36,26.4,2017,Kids,31.59,Mobile,Ultra,Good
235,15,38.8,2020,Kids,54.74,PlayStation,Low,Poor
236,14,37.4,2017,Teens,51.56,PC,Low,Good
237,4,22.6,2023,Teens,39.56,Nintendo Switch,Ultra,Poor
238,25,27.6,2014,Kids,22.16,PlayStation,Low,Poor
239,30,27.8,2017,Adults,36.91,PC,Medium,Poor
240,20,29.1,2020,Kids,51.42,PlayStation,Medium,Excellent
241,34,24.3,2019,Teens,28.01,Nintendo Switch,Low,Average
242,32,26.4,2018,Kids,24.52,PC,Low,Excellent
243,3,26.9,2018,All Ages,43.55,Mobile,Medium,Excellent
244,25,22.9,2013,Teens,20.19,Nintendo Switch,Ultra,Excellent
245,18,26.1,2014,Adults,30.03,PC,High,Poor
246,5,41.3,2021,All Ages,59.5,Mobile,High,Good
247,38,29.2,2018,Teens,33.91,Mobile,High,Excellent
248,34,28.2,2023,Teens,39.37,Xbox,High,Average
249,7,32.5,2011,Adults,42.15,Xbox,Medium,Excellent
250,19,30.8,2019,Adults,37.79,Xbox,Low,Average
251,32,30.4,2015,Kids,58.17,Nintendo Switch,Ultra,Excellent
252,34,36.3,2023,All Ages,39.64,Nintendo Switch,Ultra,Excellent
253,17,21.3,2019,Adults,22.59,Mobile,High,Average
254,38,30.2,2011,All Ages,27.8,PlayStation,High,Good
255,27,32.8,2017,Teens,28.08,PC,High,Good
256,9,30.7,2016,Kids,33.87,PlayStation,High,Average
257,32,30.1,2011,All Ages,36.01,PlayStation,Medium,Good
258,12,11.8,2014,Teens,20.14,Xbox,High,Poor
259,17,33.0,2021,Kids,36.8,PC,Medium,Poor
260,26,38.9,2023,All Ages,58.24,Xbox,Ultra,Average
261,1,26.6,2010,Adults,22.41,Nintendo Switch,High,Average
262,39,36.1,2018,Adults,38.58,PlayStation,Ultra,Excellent
263,14,19.9,2014,Teens,23.21,PlayStation,Medium,Poor
264,15,19.8,2017,Adults,20.29,PlayStation,Medium,Excellent
265,4,31.1,2018,All Ages,23.97,Mobile,High,Average
266,10,25.9,2019,All Ages,49.97,Mobile,Ultra,Good
267,15,33.3,2019,Adults,49.12,Mobile,Ultra,Average
268,13,39.8,2010,Teens,53.78,Xbox,Ultra,Good
269,28,27.5,2015,Teens,47.51,PlayStation,High,Good
270,33,29.4,2023,Teens,51.4,PlayStation,Ultra,Poor
271,38,30.8,2019,Adults,45.7,Mobile,Low,Average
272,22,29.4,2019,Adults,38.6,PlayStation,Medium,Poor
273,29,32.3,2016,All Ages,45.81,PlayStation,Low,Excellent
274,17,24.8,2011,Teens,44.71,Xbox,Ultra,Good
275,39,28.9,2011,Kids,54.15,PC,Ultra,Average
276,3,30.6,2018,Kids,53.99,Nintendo Switch,Medium,Excellent
277,33,44.0,2011,Kids,55.43,PC,Ultra,Average
278,27,38.7,2013,All Ages,55.29,Xbox,High,Good
279,1,22.2,2012,All Ages,32.72,Nintendo Switch,Low,Good
280,36,24.3,2021,Teens,38.71,Nintendo Switch,Ultra,Excellent
281,11,40.0,2012,Teens,45.24,PC,Ultra,Poor
282,13,32.9,2011,Kids,37.98,PC,Low,Average
283,5,23.5,2021,Teens,38.88,Nintendo Switch,Ultra,Poor
284,38,18.0,2023,Adults,22.14,Xbox,High,Excellent
285,6,29.7,2013,Kids,43.09,Nintendo Switch,High,Excellent
286,25,17.8,2019,Kids,31.3,PC,Medium,Excellent
287,12,30.4,2017,Kids,56.35,Nintendo Switch,Medium,Good
288,9,31.4,2014,Kids,35.73,Nintendo Switch,High,Good
289,12,29.6,2019,All Ages,31.43,Mobile,High,Average
290,34,35.0,2022,Kids,46.54,Mobile,Low,Poor
291,34,42.7,2020,Kids,54.31,Nintendo Switch,Medium,Poor
292,10,20.2,2016,All Ages,22.37,PC,Low,Poor
293,31,35.8,2013,All Ages,53.2,PlayStation,Ultra,Average
294,31,36.2,2011,Adults,48.34,PC,Ultra,Average
295,22,18.2,2011,Adults,29.98,Mobile,Medium,Poor
296,17,13.8,2019,Adults,24.38,Xbox,Low,Good
297,17,35.8,2019,Kids,50.84,Mobile,Ultra,Poor
298,12,20.2,2014,Teens,22.59,PC,Medium,Excellent
299,6,38.9,2016,All Ages,50.74,Mobile,Ultra,Average
300,2,25.9,2012,Teens,21.16,Xbox,High,Poor
301,25,27.8,2010,All Ages,45.24,PC,Low,Average
302,7,27.5,2022,Adults,42.24,PC,Medium,Average
303,15,31.8,2017,Teens,31.66,PC,Ultra,Poor
304,34,43.7,2018,Adults,53.04,PlayStation,Ultra,Average
305,24,36.6,2018,Teens,39.34,Nintendo Switch,Low,Good
306,37,40.3,2010,All Ages,53.12,PlayStation,Medium,Excellent
307,6,25.0,2019,All Ages,26.94,Mobile,Low,Good
308,31,25.6,2019,All Ages,28.94,PlayStation,Ultra,Good
309,14,40.5,2023,Kids,51.71,PC,Low,Good
310,9,25.7,2010,Teens,47.79,Xbox,High,Average
311,34,44.0,2015,Kids,59.91,Mobile,High,Good
312,31,25.0,2019,Adults,46.33,Mobile,Low,Average
313,7,21.2,2018,Kids,32.15,PlayStation,Medium,Average
314,18,31.4,2017,Kids,40.5,Nintendo Switch,Medium,Excellent
315,37,29.5,2018,Adults,39.79,Mobile,Low,Good
316,22,23.5,2010,Adults,23.2,Xbox,Ultra,Excellent
317,18,33.7,2023,All Ages,59.39,PC,Low,Good
318,36,18.5,2012,Teens,29.84,PlayStation,Low,Poor
319,9,27.6,2012,Teens,51.39,Mobile,High,Good
320,2,37.0,2021,Adults,53.41,Mobile,Medium,Excellent
321,36,43.1,2019,Teens,52.64,PC,Ultra,Good
322,28,30.9,2014,Teens,34.23,Nintendo Switch,High,Poor
323,30,41.1,2012,Adults,51.69,Mobile,Medium,Excellent
324,27,36.3,2019,All Ages,55.35,PlayStation,High,Good
325,36,34.3,2014,Kids,30.55,Nintendo Switch,Medium,Poor
326,26,33.0,2013,All Ages,28.85,PlayStation,High,Poor
327,2,32.8,2014,Kids,52.78,PlayStation,Low,Poor
328,22,34.4,2010,Teens,45.15,Nintendo Switch,Ultra,Good
329,7,28.0,2018,Teens,36.17,Mobile,Medium,Poor
330,18,38.2,2017,Kids,46.21,PlayStation,Medium,Excellent
331,35,22.1,2016,Kids,26.84,Xbox,Medium,Good
332,38,37.4,2011,Adults,52.8,Mobile,High,Poor
333,26,34.1,2020,All Ages,49.54,Nintendo Switch,Low,Poor
334,18,19.8,2018,Teens,22.57,Mobile,Ultra,Poor
335,34,25.9,2016,Adults,28.85,Nintendo Switch,High,Poor
336,37,44.0,2011,Teens,58.48,PC,High,Excellent
337,18,39.2,2018,Teens,50.55,Nintendo Switch,Low,Average
338,29,45.1,2010,All Ages,57.92,Xbox,Low,Poor
339,20,42.9,2014,Kids,54.95,PC,Medium,Good
340,24,31.0,2023,All Ages,35.25,Xbox,Ultra,Excellent
341,14,36.0,2017,Kids,54.12,Nintendo Switch,Low,Average
342,2,30.4,2013,Kids,54.82,Nintendo Switch,Ultra,Good
343,17,39.0,2019,All Ages,57.68,PC,Low,Average
344,6,27.6,2023,Kids,22.09,Xbox,High,Good
345,12,14.8,2023,All Ages,20.25,PC,Ultra,Poor
346,29,37.3,2019,Adults,38.01,Mobile,Medium,Average
347,18,40.5,2022,Kids,59.95,PC,Medium,Excellent
348,4,29.0,2018,All Ages,36.13,Mobile,Low,Average
349,19,28.7,2010,Teens,42.74,PlayStation,Low,Good
350,16,14.3,2012,All Ages,25.63,PlayStation,Ultra,Average
351,14,27.3,2011,All Ages,35.67,Nintendo Switch,Low,Good
352,0,21.7,2022,Adults,29.27,PC,Ultra,Good
353,8,41.3,2014,Teens,50.71,Xbox,Ultra,Excellent
354,3,24.1,2010,Teens,33.47,Xbox,Low,Poor
355,10,29.4,2014,Kids,50.21,Xbox,Medium,Excellent
356,39,28.2,2018,Teens,21.48,PC,Low,Poor
357,35,32.0,2022,Kids,54.27,Nintendo Switch,Medium,Good
358,3,27.9,2015,All Ages,30.7,Nintendo Switch,Ultra,Excellent
359,31,27.7,2020,All Ages,46.65,Xbox,Ultra,Excellent
360,33,28.7,2013,Adults,33.18,PC,Medium,Excellent
361,12,22.6,2016,Adults,29.68,PC,Low,Excellent
362,6,38.7,2015,All Ages,41.32,Mobile,Ultra,Average
363,28,38.0,2011,All Ages,55.38,PlayStation,Medium,Good
364,37,35.0,2018,Adults,53.82,Mobile,Low,Excellent
365,20,30.5,2022,All Ages,30.38,Nintendo Switch,Medium,Good
366,37,16.9,2017,All Ages,22.5,Nintendo Switch,Medium,Average
367,12,25.7,2016,Kids,48.4,Xbox,High,Good
368,8,24.7,2020,Adults,40.63,Nintendo Switch,Medium,Poor
369,0,37.5,2022,All Ages,52.95,Mobile,Low,Good
370,0,32.3,2022,Kids,45.34,Mobile,High,Excellent
371,19,34.8,2011,Kids,32.12,PC,High,Average
372,31,19.0,2022,All Ages,26.21,PC,Medium,Good
373,10,38.8,2014,Adults,44.92,Nintendo Switch,Medium,Poor
374,17,18.3,2012,Teens,25.82,PC,Medium,Good
375,24,22.8,2010,Teens,21.85,Xbox,Ultra,Good
376,21,25.9,2012,Teens,43.58,Mobile,High,Good
377,35,34.8,2019,Teens,43.96,Mobile,High,Excellent
378,13,19.6,2011,Adults,31.19,PlayStation,High,Good
379,35,20.4,2017,Adults,29.08,PlayStation,Ultra,Average
380,26,32.3,2012,Adults,56.47,Nintendo Switch,Ultra,Good
381,10,36.4,2014,Kids,36.34,PC,Medium,Good
382,37,33.1,2018,Adults,51.81,Mobile,Ultra,Good
383,8,40.9,2012,Adults,45.19,PC,Medium,Poor
384,21,27.3,2010,All Ages,35.26,Xbox,High,Poor
385,38,36.8,2016,Adults,47.34,Nintendo Switch,Medium,Good
386,4,25.4,2023,Kids,35.83,Mobile,Low,Excellent
387,32,21.8,2023,Teens,43.77,PC,Ultra,Excellent
388,24,28.5,2011,Kids,38.1,Nintendo Switch,Low,Excellent
389,22,30.4,2023,Adults,30.5,Xbox,High,Average
390,27,31.9,2012,Adults,53.46,PC,Medium,Good
391,25,38.8,2013,Kids,52.82,PC,Low,Excellent
392,6,43.4,2014,All Ages,55.96,Mobile,Ultra,Good
393,22,28.8,2015,Kids,44.38,Xbox,Medium,Average
394,14,34.7,2023,Teens,37.92,Nintendo Switch,Medium,Excellent
395,11,28.5,2015,Teens,22.54,Mobile,Medium,Poor
396,10,24.6,2015,Teens,35.78,Nintendo Switch,High,Poor
397,25,31.8,2020,All Ages,31.44,Nintendo Switch,Low,Good
398,2,29.2,2021,Teens,48.08,Mobile,Medium,Average
399,20,38.5,2013,Kids,54.7,PlayStation,Medium,Excellent
400,29,32.8,2015,Adults,55.62,Xbox,High,Average
401,37,32.9,2010,Kids,48.51,PC,Medium,Good
402,19,30.8,2019,All Ages,28.49,Xbox,Low,Good
403,31,32.1,2011,Kids,55.02,Xbox,Ultra,Poor
404,11,26.1,2017,Teens,47.9,PC,High,Good
405,3,23.8,2014,Kids,26.77,PC,High,Excellent
406,32,23.6,2015,Adults,31.86,Xbox,Medium,Good
407,1,35.1,2013,Kids,39.73,PC,Low,Good
408,12,30.6,2021,Kids,45.37,Mobile,High,Good
409,28,37.4,2013,Adults,43.71,PC,Low,Excellent
410,23,28.3,2014,Kids,23.99,Xbox,High,Good
411,26,44.9,2022,All Ages,55.13,PlayStation,High,Average
412,18,40.2,2023,All Ages,55.78,PC,Low,Excellent
413,16,30.1,2014,Adults,40.37,PC,Low,Excellent
414,39,14.1,2011,All Ages,27.09,Nintendo Switch,Low,Excellent
415,0,23.1,2011,All Ages,25.9,PlayStation,Low,Good
416,11,27.5,2021,All Ages,33.63,Xbox,Low,Average
417,37,27.3,2014,All Ages,51.94,PC,Low,Poor
418,4,32.9,2021,All Ages,52.23,Nintendo Switch,Medium,Excellent
419,29,25.2,2017,Teens,23.17,Nintendo Switch,High,Excellent
420,1,16.2,2012,Teens,23.9,PlayStation,Low,Excellent
421,30,35.2,2014,Teens,59.64,Xbox,Ultra,Average
422,36,23.3,2010,Teens,41.53,Xbox,High,Poor
423,26,36.4,2011,All Ages,46.41,PC,Low,Good
424,9,34.7,2020,Adults,56.71,PC,Ultra,Average
425,19,36.9,2023,All Ages,56.3,Nintendo Switch,Ultra,Excellent
426,20,26.8,2021,All Ages,39.43,Mobile,Medium,Poor
427,12,33.9,2017,Kids,59.58,PlayStation,Medium,Excellent
428,16,15.2,2017,Kids,23.83,PlayStation,Medium,Poor
429,4,26.0,2016,Kids,43.38,Nintendo Switch,Ultra,Poor
430,30,38.6,2011,All Ages,56.34,PlayStation,High,Poor
431,32,26.1,2017,Teens,28.25,PC,Medium,Good
432,23,28.7,2015,Teens,21.99,Xbox,Low,Excellent
433,22,22.7,2017,Adults,43.51,PlayStation,Ultra,Excellent
434,37,44.7,2022,Adults,59.21,Nintendo Switch,Low,Average
