user,item,rating,feature Str
209,5,4.25,Pack
210,5,3.75,Pack
211,5,4.0,Pack
212,5,5.0,Pack
213,5,5.0,Pack
214,5,4.0,Pack
215,5,4.0,Pack
216,69,4.0,Bowl
217,2,5.0,Bowl
218,70,2.0,Pack
219,68,2.0,Cup
220,62,4.0,Bowl
221,71,5.0,Bowl
222,12,4.0,Cup
223,72,4.0,Pack
224,73,5.0,Bowl
225,2,4.0,Cup
226,23,1.0,Pack
227,74,4.0,Pack
228,2,4.0,Cup
229,75,3.0,Cup
230,8,3.0,Pack
231,2,3.0,Bowl
232,76,1.0,Pack
233,77,5.0,Pack
234,2,4.0,Cup
235,2,4.0,Cup
236,2,4.0,Pack
237,2,4.0,Cup
238,2,4.0,Cup
239,2,3.0,Cup
240,2,4.0,Pack
241,2,3.0,Cup
242,2,3.0,Cup
243,2,5.0,Cup
244,2,4.0,Cup
245,2,4.0,Cup
246,2,4.0,Pack
247,2,4.0,Cup
248,55,4.0,Pack
249,78,5.0,Pack
250,79,3.0,Pack
251,2,4.0,Cup
252,2,4.0,Cup
253,80,4.0,Pack
254,15,5.0,Pack
255,31,5.0,Pack
256,81,3.0,Bowl
257,44,5.0,Bowl
258,2,4.0,Cup
259,12,3.5,Bowl
260,36,5.0,Pack
261,82,4.0,Bowl
262,2,5.0,Cup
263,61,3.0,Bowl
264,2,4.0,Cup
265,83,3.5,Pack
266,83,5.0,Pack
267,83,3.8,Pack
268,80,4.0,Pack
269,2,4.0,Cup
270,75,4.0,Cup
271,24,4.0,Pack
272,2,4.0,Cup
273,53,4.0,Pack
274,34,5.0,Pack
275,25,3.0,Pack
276,2,5.0,Tray
277,84,3.0,Cup
278,2,4.0,Pack
279,85,3.0,Pack
280,2,4.0,Cup
281,69,3.0,Bowl
282,84,3.0,Cup
283,2,4.0,Cup
284,81,4.0,Bowl
285,2,5.0,Pack
286,62,5.0,Pack
287,5,4.0,Pack
288,2,5.0,Pack
289,43,4.0,Bowl
290,2,4.0,Cup
291,47,0.0,Pack
292,71,4.0,Bowl
293,75,3.0,Cup
294,2,4.0,Cup
295,2,5.0,Pack
296,5,5.0,Pack
297,2,4.0,Cup
298,62,4.0,Pack
299,2,5.0,Bowl
300,2,5.0,Pack
301,61,3.0,Bowl
302,2,3.0,Cup
303,86,4.0,Pack
304,84,4.0,Cup
305,23,4.0,Bowl
306,2,4.0,Bowl
307,62,5.0,Pack
308,5,4.0,Pack
309,70,4.0,Pack
310,2,5.0,Pack
311,59,2.0,Pack
312,2,4.0,Cup
313,2,3.0,Cup
314,87,1.0,Pack
315,62,4.0,Pack
316,52,5.0,Cup
317,88,4.0,Bowl
318,23,5.0,Pack
319,89,3.75,Bowl
320,71,4.3,Bowl
321,90,2.3,Pack
322,61,3.0,Bowl
323,68,5.0,Tray
324,2,3.0,Cup
325,91,4.0,Cup
326,0,5.0,Bowl
327,24,4.0,Pack
328,2,4.0,Pack
329,92,4.0,Pack
330,12,5.0,Cup
331,2,5.0,Bowl
332,52,4.0,Cup
333,2,4.0,Cup
334,49,4.0,Pack
335,2,4.0,Cup
336,93,3.0,Cup
337,90,4.0,Pack
338,45,3.0,Bowl
339,2,4.0,Cup
340,94,1.0,Pack
341,2,5.0,Cup
342,25,4.0,Bowl
343,51,4.0,Bowl
344,15,5.0,Bowl
345,2,4.0,Cup
346,2,5.0,Bowl
347,75,4.0,Cup
348,72,4.0,Pack
349,49,4.0,Pack
350,2,5.0,Bowl
351,25,4.0,Pack
352,95,3.0,Pack
353,90,4.0,Bowl
354,70,4.0,Pack
355,9,4.0,Pack
356,96,5.0,Pack
357,2,5.0,Cup
358,15,5.0,Pack
359,75,1.0,Cup
360,97,4.0,Pack
361,2,5.0,Pack
362,98,3.0,Tray
363,43,5.0,Pack
364,81,4.0,Bowl
365,6,4.0,Pack
366,15,4.0,Pack
367,2,3.0,Cup
368,99,4.0,Pack
369,2,5.0,Pack
370,100,0.0,Pack
371,2,3.0,Cup
372,2,5.0,Bowl
373,25,4.0,Bowl
374,2,4.0,Cup
375,12,4.0,Bowl
376,2,4.0,Cup
377,101,2.0,Cup
378,101,5.0,Cup
379,101,3.0,Cup
380,101,3.0,Cup
381,101,5.0,Cup
382,101,3.3,Cup
383,2,5.0,Bowl
384,90,4.0,Pack
385,76,3.0,Pack
386,96,5.0,Pack
387,102,4.0,Pack
388,43,4.75,Bowl
389,2,4.0,Cup
390,91,2.5,Cup
391,66,5.0,Pack
392,47,4.0,Pack
393,2,5.0,Pack
394,103,2.75,Bowl
395,82,3.5,Pack
396,82,3.5,Pack
397,82,4.0,Pack
398,82,3.0,Bowl
399,82,5.0,Pack
400,82,4.0,Pack
401,82,4.0,Pack
402,82,5.0,Pack
403,82,4.0,Pack
404,82,5.0,Cup
405,82,4.0,Pack
406,82,4.0,Pack
407,82,4.0,Pack
408,25,4.0,Pack
409,104,4.0,Pack
410,97,5.0,Pack
411,93,3.0,Cup
412,86,4.0,Pack
413,84,3.0,Cup
414,97,5.0,Pack
415,2,4.0,Bowl
416,97,5.0,Pack
417,12,5.0,Pack
418,105,5.0,Bowl
419,106,3.0,Pack
420,98,5.0,Tray
421,47,4.0,Pack
422,98,2.0,Tray
423,107,4.0,Pack
424,107,4.0,Pack
425,107,4.0,Pack
426,107,5.0,Pack
427,107,5.0,Pack
428,107,3.0,Pack
429,107,5.0,Pack
430,107,5.0,Pack
431,25,3.0,Cup
432,81,3.0,Bowl
433,52,3.0,Cup
434,2,4.0,Pack
435,108,3.0,Pack
436,25,4.0,Bowl
437,2,5.0,Bowl
438,45,5.0,Bowl
439,90,4.0,Pack
440,90,4.0,Pack
441,2,4.0,Pack
442,2,4.0,Pack
443,109,2.0,Pack
444,110,4.0,Pack
445,2,5.0,Bowl
446,25,5.0,Cup
447,43,4.0,Pack
448,49,4.0,Pack
449,111,5.0,Pack
450,81,4.0,Cup
451,84,2.25,Cup
452,2,5.0,Bowl
453,104,4.0,Pack
454,112,3.5,Bowl
455,2,5.0,Cup
456,2,5.0,Pack
457,2,4.0,Pack
458,2,3.5,Cup
459,2,3.5,Cup
460,2,3.25,Cup
461,112,4.0,Bowl
462,2,4.0,Pack
463,2,4.0,Cup
464,2,3.5,Pack
465,2,4.0,Cup
466,2,4.0,Pack
467,2,3.75,Cup
468,93,3.0,Pack
469,113,4.3,Pack
470,114,1.0,Pack
471,2,4.5,Pack
472,115,3.5,Pack
473,25,3.0,Pack
474,45,4.0,Bowl
475,100,0.0,Pack
476,2,5.0,Cup
477,5,4.0,Pack
478,43,4.0,Pack
479,116,4.0,Bowl
480,12,5.0,Cup
481,111,5.0,Pack
482,25,4.0,Bowl
483,2,5.0,Pack
484,12,5.0,Pack
485,113,2.0,Pack
486,109,4.0,Pack
487,18,5.0,Cup
488,2,5.0,Pack
489,2,5.0,Cup
490,2,4.0,Bowl
491,2,4.0,Pack
492,2,5.0,Pack
493,90,5.0,Bowl
494,2,5.0,Pack
495,2,5.0,Pack
496,2,4.0,Cup
497,2,4.0,Cup
498,90,4.0,Pack
499,2,5.0,Cup
500,2,4.0,Cup
501,2,5.0,Cup
502,2,3.75,Bowl
503,117,4.5,Pack
504,2,3.5,Cup
505,93,4.0,Pack
506,25,5.0,Bowl
507,98,5.0,Pack
508,118,1.75,Bowl
509,109,3.75,Pack
510,34,5.0,Pack
511,5,4.5,Pack
512,72,5.0,Pack
513,110,3.0,Pack
514,12,5.0,Pack
515,119,3.25,Pack
516,24,3.75,Pack
517,71,4.25,Tray
518,2,5.0,Cup
519,110,2.5,Pack
520,120,3.75,Pack
521,2,3.75,Cup
522,121,0.0,Pack
523,2,5.0,Bowl
524,84,3.25,Cup
525,25,3.75,Cup
526,35,3.5,Cup
527,47,3.5,Pack
528,18,5.0,Cup
529,24,4.0,Pack
530,6,3.8,Bowl
531,113,5.0,Pack
532,39,4.0,Pack
533,93,3.5,Pack
534,109,3.0,Cup
535,122,5.0,Bowl
536,84,4.3,Cup
537,47,4.5,Pack
538,2,5.0,Cup
539,118,5.0,Bowl
540,123,1.5,Pack
541,124,3.5,Pack
542,98,4.25,Pack
543,6,3.5,Cup
544,75,3.25,Cup
545,125,2.5,Pack
546,71,3.75,Bowl
547,111,5.0,Pack
548,43,3.75,Pack
549,91,2.0,Cup
550,25,3.5,Pack
551,2,5.0,Bowl
552,18,4.75,Cup
553,126,2.0,Cup
554,126,2.5,Cup
555,126,0.0,Cup
556,126,3.0,Cup
557,126,5.0,Cup
558,49,3.5,Pack
559,6,3.75,Cup
560,66,4.0,Pack
561,5,0.0,Bowl
562,93,3.5,Cup
563,39,5.0,Pack
564,113,4.5,Pack
565,93,3.5,Pack
566,82,2.0,Pack
567,127,2.0,Pack
568,82,3.75,Pack
569,128,3.0,Cup
570,62,3.5,Bowl
571,12,3.75,Pack
572,71,3.75,Bowl
573,98,4.5,Pack
574,2,3.75,Bowl
575,2,5.0,Bowl
576,2,3.8,Cup
577,2,4.0,Cup
578,2,5.0,Bowl
579,2,5.0,Cup
580,2,5.0,Bowl
581,2,4.3,Cup
582,2,4.0,Cup
583,2,5.0,Cup
584,2,5.0,Bowl
585,2,5.0,Pack
586,2,4.5,Cup
587,2,5.0,Cup
588,2,5.0,Cup
589,18,5.0,Pack
590,82,3.5,Pack
591,2,4.5,Bowl
592,98,4.25,Pack
593,129,5.0,Pack
594,2,5.0,Cup
595,118,4.0,Pack
596,47,4.0,Pack
597,18,5.0,Pack
598,84,3.5,Cup
599,2,3.0,Cup
600,111,5.0,Pack
601,130,5.0,Pack
602,131,4.25,Pack
603,2,3.25,Pack
604,5,5.0,Pack
605,2,4.25,Pack
606,109,2.75,Pack
607,22,3.5,Pack
608,130,5.0,Pack
609,12,4.75,Pack
610,2,3.5,Pack
611,118,4.5,Pack
612,3,3.75,Pack
613,18,5.0,Pack
614,82,5.0,Pack
615,132,3.75,Cup
616,132,3.5,Cup
617,132,4.25,Cup
618,132,4.0,Cup
619,43,4.0,Pack
620,133,4.0,Tray
621,82,4.0,Cup
622,25,0.0,Cup
623,2,4.75,Pack
624,134,2.0,Pack
625,129,5.0,Pack
626,55,3.75,Pack
627,2,4.25,Cup
628,22,4.0,Pack
629,135,3.5,Pack
630,62,1.5,Pack
631,129,5.0,Pack
632,2,4.75,Pack
633,82,3.5,Pack
634,3,5.0,Pack
635,0,5.0,Bowl
636,136,3.5,Pack
637,137,2.5,Pack
638,2,5.0,Cup
639,82,5.0,Pack
640,2,5.0,Bowl
641,82,3.75,Cup
642,138,1.0,Pack
643,92,3.75,Pack
644,92,5.0,Pack
645,92,4.5,Pack
646,92,3.75,Pack
647,139,3.75,Pack
648,134,0.25,Pack
649,82,3.5,Pack
650,135,3.0,Pack
651,72,3.5,Bowl
652,2,4.0,Bowl
653,26,5.0,Pack
654,62,3.5,Pack
655,128,0.5,Cup
656,140,1.5,Cup
657,2,3.5,Cup
658,131,0.75,Pack
659,25,4.5,Bowl
660,141,3.5,Pack
661,133,0.25,Tray
662,2,3.0,Pack
663,131,4.5,Bowl
664,26,5.0,Pack
665,142,0.0,Bowl
666,82,3.75,Pack
667,2,5.0,Cup
668,2,3.0,Tray
669,143,3.5,Pack
670,2,4.75,Bowl
671,129,5.0,Pack
672,73,3.5,Pack
673,144,3.5,Pack
674,139,3.0,Pack
675,145,4.5,Pack
676,82,5.0,Pack
677,26,5.0,Pack
678,136,5.0,Pack
679,134,1.5,Pack
680,47,3.0,Bowl
681,2,3.5,Cup
682,143,3.5,Pack
683,25,5.0,Bowl
684,82,2.75,Pack
685,2,5.0,Cup
686,24,4.0,Pack
687,2,3.5,Cup
688,146,4.5,Pack
689,82,2.75,Pack
690,2,3.5,Cup
691,43,4.25,Pack
692,43,3.75,Bowl
693,43,3.0,Pack
694,43,4.5,Bowl
695,43,4.0,Pack
696,43,4.75,Bowl
697,43,3.5,Pack
698,43,3.75,Bowl
699,43,3.5,Pack
700,43,5.0,Bowl
701,43,4.5,Pack
702,43,3.75,Pack
703,81,5.0,Pack
704,136,2.5,Pack
705,147,0.0,Bowl
706,131,5.0,Pack
707,2,3.75,Cup
708,143,2.75,Pack
709,2,3.5,Pack
710,72,4.0,Bowl
711,148,4.0,Bowl
712,18,5.0,Pack
713,149,3.5,Cup
714,2,5.0,Pack
715,150,0.0,Pack
716,136,3.75,Pack
717,128,0.5,Cup
718,2,2.75,Cup
719,149,5.0,Pack
720,43,5.0,Bowl
721,133,3.25,Tray
722,35,5.0,Cup
723,151,3.0,Pack
724,149,3.5,Pack
725,139,3.5,Pack
726,43,3.25,Bowl
727,22,3.5,Pack
728,2,4.5,Pack
729,152,3.5,Pack
730,18,5.0,Pack
731,128,3.0,Pack
732,2,4.5,Tray
733,149,3.25,Pack
734,153,5.0,Bowl
735,154,4.5,Pack
736,154,5.0,Pack
737,154,4.0,Pack
738,154,3.25,Pack
739,155,5.0,Pack
740,155,4.5,Pack
741,155,5.0,Pack
742,155,5.0,Pack
743,155,5.0,Pack
744,155,5.0,Pack
745,155,3.75,Pack
746,148,3.5,Pack
747,146,4.0,Pack
748,97,4.75,Pack
749,97,5.0,Pack
750,97,5.0,Pack
751,12,5.0,Pack
752,149,3.5,Pack
753,62,4.5,Pack
754,12,5.0,Cup
755,18,4.0,Pack
756,117,3.5,Pack
757,43,3.25,Bowl
758,156,1.5,Bowl
759,148,5.0,Bowl
760,157,4.5,Bowl
761,158,4.0,Bowl
762,73,3.25,Bowl
763,159,4.0,Pack
764,134,3.0,Pack
765,2,4.25,Pack
766,47,4.25,Bowl
767,128,3.5,Pack
768,18,5.0,Pack
769,72,4.75,Bowl
770,149,3.5,Cup
771,70,3.5,Cup
772,85,3.5,Pack
773,149,4.0,Pack
774,160,4.75,Pack
775,149,4.0,Pack
776,2,3.5,Cup
777,150,3.75,Pack
778,161,0.25,Cup
779,142,2.5,Bowl
780,141,2.75,Pack
781,70,3.5,Pack
782,22,4.75,Pack
783,162,0.0,Pack
784,155,3.0,Pack
785,85,3.5,Pack
786,123,3.5,Pack
787,155,4.25,Pack
788,163,4.5,Cup
789,85,3.5,Pack
790,163,3.0,Cup
791,152,4.0,Pack
792,2,4.25,Tray
793,163,3.5,Cup
794,164,5.0,Pack
795,141,4.5,Pack
796,165,0.0,Pack
797,18,5.0,Bowl
798,66,4.5,Pack
799,166,3.25,Pack
800,86,5.0,Pack
801,86,3.5,Bowl
802,86,5.0,Bowl
803,86,4.25,Bowl
804,86,5.0,Pack
805,86,4.0,Bowl
806,86,5.0,Pack
807,86,3.5,Bowl
808,86,4.5,Bowl
809,119,5.0,Pack
810,0,5.0,Bowl
811,149,4.0,Pack
812,15,3.5,Bowl
813,2,3.5,Cup
814,144,3.75,Pack
815,167,4.5,Pack
816,33,4.0,Pack
817,168,1.0,Bowl
818,0,4.5,Bowl
819,2,4.0,Cup
820,155,3.5,Pack
821,141,3.25,Pack
822,98,4.25,Pack
823,149,4.0,Pack
824,15,5.0,Bowl
825,142,3.5,Bowl
826,146,4.75,Pack
827,33,5.0,Pack
828,117,5.0,Cup
829,148,5.0,Pack
830,162,3.0,Cup
831,155,3.5,Pack
832,72,4.25,Bowl
833,137,3.5,Pack
834,98,5.0,Pack
835,149,4.5,Pack
836,169,4.5,Pack
837,43,2.5,Bowl
838,47,4.25,Pack
839,2,4.5,Bowl
840,58,4.25,Cup
841,117,3.75,Cup
842,119,5.0,Pack
843,47,4.0,Bowl
844,170,4.25,Pack
845,139,3.75,Pack
846,163,3.25,Cup
847,149,5.0,Pack
848,171,4.5,Pack
849,147,2.75,Cup
850,172,3.25,Bowl
851,3,5.0,Bowl
852,173,3.0,Bowl
853,98,3.25,Pack
854,144,3.5,Pack
855,174,3.75,Pack
856,111,4.5,Pack
857,175,4.25,Pack
858,119,5.0,Cup
859,70,2.5,Bowl
860,173,2.5,Cup
861,176,4.0,Pack
862,149,3.5,Pack
863,148,3.75,Pack
864,47,3.75,Pack
865,111,5.0,Pack
866,177,4.5,Pack
867,158,4.0,Pack
868,166,5.0,Pack
869,143,4.0,Pack
870,178,4.0,Pack
871,162,3.5,Bowl
872,34,4.75,Cup
873,179,4.5,Pack
874,174,3.75,Pack
875,180,3.5,Cup
876,5,2.75,Cup
877,177,4.25,Pack
878,98,4.0,Pack
879,155,3.5,Pack
880,25,4.0,Cup
881,178,5.0,Pack
882,149,5.0,Cup
883,149,5.0,Cup
884,149,4.75,Pack
885,149,5.0,Cup
886,149,3.25,Pack
887,149,3.5,Cup
888,181,4.0,Bowl
889,181,5.0,Pack
890,181,3.75,Bowl
891,181,3.75,Pack
892,181,3.5,Pack
893,181,4.0,Pack
894,181,4.5,Bowl
895,181,5.0,Pack
896,181,4.0,Pack
897,181,3.75,Bowl
898,169,4.5,Pack
899,156,3.5,Bowl
900,12,5.0,Pack
901,15,5.0,Pack
902,123,4.25,Pack
903,174,4.5,Pack
904,182,3.5,Cup
905,183,3.5,Pack
906,162,3.25,Cup
907,184,5.0,Pack
908,185,3.75,Pack
909,186,1.25,Cup
910,149,3.5,Cup
911,187,5.0,Pack
912,73,3.0,Cup
913,188,1.5,Pack
914,119,2.0,Pack
915,173,4.0,Pack
916,149,5.0,Pack
917,189,3.75,Cup
918,44,3.0,Pack
919,190,2.75,Pack
920,191,5.0,Bowl
921,192,2.75,Pack
922,149,3.5,Cup
923,150,3.0,Pack
924,130,5.0,Pack
925,130,5.0,Pack
926,130,5.0,Pack
927,193,3.75,Pack
928,24,4.25,Pack
929,47,4.25,Pack
930,3,4.25,Pack
931,194,2.75,Cup
932,195,4.0,Tray
933,196,3.75,Bowl
934,158,2.0,Bowl
935,182,3.5,Cup
936,197,0.25,Cup
937,198,0.0,Bowl
938,199,2.0,Pack
939,152,3.75,Cup
940,98,5.0,Pack
941,160,3.0,Pack
942,192,3.25,Pack
943,70,2.75,Pack
944,5,3.5,Cup
945,186,3.5,Cup
946,85,3.0,Pack
947,2,4.0,Bowl
948,12,2.5,Bowl
949,158,3.5,Bowl
950,162,0.0,Cup
951,147,2.5,Bowl
952,2,2.75,Bowl
953,149,5.0,Bowl
954,174,3.0,Pack
955,18,5.0,Pack
956,12,4.0,Pack
957,43,3.0,Bowl
958,179,3.25,Pack
959,2,3.75,Pack
960,187,2.5,Pack
961,18,5.0,Pack
962,200,3.5,Pack
963,201,4.0,Pack
964,202,5.0,Pack
965,25,3.25,Bowl
966,192,3.25,Pack
967,196,4.0,Bowl
968,188,3.0,Pack
969,203,0.25,Pack
970,158,4.5,Pack
971,43,2.75,Bowl
972,34,4.0,Pack
973,2,3.5,Pack
974,204,1.0,Pack
975,175,5.0,Pack
976,173,3.5,Pack
977,12,5.0,Pack
978,166,5.0,Pack
979,2,3.5,Pack
980,149,4.0,Cup
981,2,4.0,Tray
982,205,3.0,Pack
983,86,5.0,Pack
984,6,2.25,Cup
985,12,4.25,Pack
986,33,5.0,Pack
987,206,3.5,Pack
988,206,3.75,Pack
989,207,3.75,Pack
990,206,3.5,Pack
991,208,3.75,Pack
992,111,5.0,Pack
993,207,3.75,Pack
994,208,4.0,Pack
995,206,4.0,Pack
996,190,2.75,Pack
997,182,3.75,Pack
998,209,4.0,Pack
999,2,4.0,Bowl
1000,149,3.75,Pack
1001,34,3.75,Pack
1002,15,5.0,Bowl
1003,166,3.5,Pack
1004,158,4.75,Bowl
1005,47,3.75,Pack
1006,210,3.5,Pack
1007,25,5.0,Bowl
1008,34,4.0,Pack
1009,149,3.5,Cup
1010,2,4.25,Cup
1011,2,3.25,Cup
1012,211,2.5,Pack
1013,186,3.0,Cup
1014,12,4.25,Pack
1015,170,2.75,Pack
1016,205,4.5,Pack
1017,212,3.75,Tray
1018,47,4.0,Pack
1019,194,2.0,Cup
1020,158,3.5,Pack
1021,4,3.75,Pack
1022,213,3.5,Pack
1023,214,3.0,Pack
1024,119,3.75,Pack
1025,135,3.5,Pack
1026,43,3.5,Bowl
1027,136,5.0,Pack
1028,81,5.0,Pack
1029,5,3.75,Cup
1030,147,4.25,Bowl
1031,2,3.5,Pack
1032,215,5.0,Pack
1033,216,1.5,Tray
1034,34,3.75,Pack
1035,170,2.5,Cup
1036,171,3.75,Pack
1037,200,4.25,Pack
1038,0,3.5,Bowl
1039,44,4.5,Pack
1040,70,3.75,Pack
1041,188,3.25,Pack
1042,44,3.5,Pack
1043,155,3.75,Pack
1044,217,3.75,Pack
1045,196,4.5,Pack
1046,196,3.75,Pack
1047,196,4.0,Pack
1048,196,4.0,Pack
1049,196,3.25,Cup
1050,196,4.5,Pack
1051,196,3.75,Pack
1052,152,3.75,Cup
1053,2,3.5,Pack
1054,15,5.0,Bowl
1055,73,3.25,Pack
1056,25,5.0,Tray
1057,148,3.0,Pack
1058,4,3.5,Pack
1059,119,4.5,Pack
1060,218,3.5,Pack
1061,219,3.75,Pack
1062,12,4.0,Pack
1063,34,4.5,Pack
1064,149,4.0,Pack
1065,220,1.75,Pack
1066,199,3.25,Pack
1067,76,3.25,Pack
1068,2,3.5,Bowl
1069,119,5.0,Pack
1070,2,3.5,Pack
1071,2,3.75,Pack
1072,192,3.25,Pack
1073,47,4.25,Pack
1074,12,3.25,Bowl
1075,86,4.0,Pack
1076,6,3.25,Tray
1077,18,5.0,Pack
1078,190,3.25,Pack
1079,5,3.5,Pack
1080,2,3.5,Cup
1081,47,4.5,Pack
1082,163,3.75,Cup
1083,35,3.5,Cup
1084,25,4.25,Bowl
1085,70,4.0,Pack
1086,24,3.75,Pack
1087,2,3.5,Cup
1088,34,3.25,Pack
1089,33,5.0,Pack
1090,214,3.25,Pack
1091,33,5.0,Pack
1092,12,5.0,Pack
1093,136,3.75,Pack
1094,110,4.0,Pack
1095,25,4.0,Pack
1096,47,3.5,Pack
1097,15,4.0,Pack
1098,2,3.5,Cup
1099,193,4.0,Pack
1100,149,4.0,Pack
1101,160,3.5,Pack
1102,135,3.25,Cup
1103,149,4.0,Pack
1104,149,5.0,Cup
1105,193,3.75,Pack
1106,149,5.0,Pack
1107,149,3.5,Cup
1108,135,3.25,Pack
1109,149,5.0,Cup
1110,193,4.5,Pack
1111,149,5.0,Pack
1112,160,3.5,Pack
1113,215,4.75,Pack
1114,25,3.5,Cup
1115,3,2.25,Bowl
1116,2,4.0,Cup
1117,2,3.75,Pack
1118,2,4.0,Cup
1119,2,3.75,Bowl
1120,2,3.75,Pack
1121,2,3.5,Cup
1122,2,3.75,Pack
1123,2,4.0,Cup
1124,2,5.0,Pack
1125,2,3.75,Bowl
1126,2,4.0,Cup
1127,2,5.0,Pack
1128,2,4.0,Cup
1129,2,4.25,Pack
1130,2,4.0,Cup
1131,43,4.5,Tray
1132,18,5.0,Pack
1133,25,3.5,Cup
1134,12,4.25,Pack
1135,34,3.5,Pack
1136,2,3.5,Bowl
