user,item,rating,timestamp,feature Str,feature
54,0,92.0,February 2018,Medium-Light,4.56
55,12,93.0,February 2018,Light,4.25
56,12,94.0,February 2018,Light,4.6
57,3,93.0,February 2018,Light,4.85
58,37,94.0,February 2018,Medium-Light,4.63
59,32,93.0,February 2018,Medium-Light,4.63
60,37,93.0,February 2018,Medium,4.98
61,29,96.0,March 2018,Light,8.77
62,29,90.0,March 2018,Medium,8.77
63,38,91.0,March 2018,Medium-Light,7.35
64,39,92.0,March 2018,Medium-Light,3.31
65,40,94.0,March 2018,Light,4.41
66,41,93.0,March 2018,Medium-Light,4.12
67,12,93.0,March 2018,Light,3.92
68,42,92.0,March 2018,Medium,4.26
69,11,95.0,February 2018,Medium,19.82
70,10,94.0,February 2018,Medium-Light,5.28
71,3,93.0,April 2018,Medium-Light,4.85
72,10,93.0,April 2018,Medium-Light,6.15
73,43,93.0,April 2018,Medium-Light,5.0
74,44,93.0,April 2018,Light,5.88
75,35,95.0,April 2018,Medium-Light,22.49
76,45,94.0,April 2018,Light,6.51
77,27,95.0,April 2018,Medium,16.53
78,32,94.0,April 2018,Medium-Light,5.51
79,32,93.0,April 2018,Medium-Light,4.63
80,12,94.0,March 2018,Medium-Light,12.74
81,46,92.0,March 2018,Medium-Light,4.93
82,12,94.0,March 2018,Medium-Light,13.45
83,19,91.0,March 2018,Medium-Light,5.88
84,47,92.0,May 2018,Medium-Light,6.61
85,48,94.0,April 2018,Light,4.96
86,49,95.0,April 2018,Medium-Light,33.07
87,49,95.0,April 2018,Medium-Light,63.93
88,50,93.0,April 2018,Medium-Light,5.73
89,51,94.0,April 2018,Medium,5.28
90,11,94.0,April 2018,Medium-Light,20.26
91,52,93.0,April 2018,Medium-Light,5.29
92,53,93.0,April 2018,Medium-Light,12.35
93,54,93.0,April 2018,Medium-Light,5.0
94,49,94.0,June 2018,Medium-Light,5.29
95,22,92.0,May 2018,Medium,6.83
96,55,92.0,May 2018,Medium-Light,8.88
97,49,95.0,May 2018,Medium-Light,15.43
98,16,92.0,May 2018,Medium-Light,4.85
99,48,92.0,May 2018,Medium-Light,5.66
100,2,91.0,May 2018,Medium-Light,4.56
101,56,91.0,May 2018,Medium-Light,5.64
102,57,91.0,May 2018,Medium-Light,5.29
103,58,90.0,May 2018,Medium-Light,5.92
104,8,93.0,May 2018,Medium-Light,5.29
105,59,93.0,May 2018,Medium-Light,3.19
106,60,92.0,May 2018,Medium-Light,4.56
107,61,93.0,June 2018,Medium-Light,8.5
108,62,92.0,June 2018,Medium-Light,9.16
109,2,90.0,June 2018,Medium-Light,4.56
110,63,93.0,June 2018,Medium-Light,4.52
111,22,92.0,June 2018,Medium-Light,9.24
112,12,92.0,June 2018,Medium-Light,5.31
113,41,93.0,July 2018,Medium,4.41
114,3,94.0,July 2018,Light,5.58
115,64,93.0,July 2018,Light,5.66
116,12,94.0,August 2018,Light,3.68
117,65,94.0,August 2018,Medium-Light,5.29
118,64,95.0,August 2018,Medium-Light,21.24
119,66,95.0,August 2018,Medium-Dark,6.02
120,37,95.0,August 2018,Medium,4.98
121,67,93.0,August 2018,Medium-Light,5.29
122,67,93.0,August 2018,Medium-Light,5.29
123,19,92.0,August 2018,Medium-Light,4.1
124,19,90.0,August 2018,Medium-Light,4.1
125,36,93.0,August 2018,Medium-Light,6.17
126,36,91.0,August 2018,Medium-Light,6.03
127,46,92.0,August 2018,Medium,5.64
128,12,94.0,September 2018,Medium-Light,3.89
129,68,92.0,August 2018,Medium,5.36
130,22,95.0,August 2018,Medium,8.21
131,16,93.0,August 2018,Medium-Light,5.57
132,69,94.0,August 2018,,111.11
133,10,93.0,August 2018,Medium-Light,3.51
134,32,94.0,August 2018,Medium-Light,5.73
135,47,92.0,August 2018,Medium-Light,5.88
136,47,91.0,August 2018,Medium-Light,5.88
137,27,93.0,August 2018,Medium-Light,6.91
138,52,92.0,August 2018,Medium-Light,5.29
139,29,95.0,September 2018,Light,11.76
140,29,92.0,September 2018,Medium-Light,11.76
141,49,94.0,September 2018,Medium-Light,5.29
142,49,94.0,September 2018,Medium-Light,5.29
143,12,94.0,September 2018,Medium-Light,3.89
144,40,93.0,October 2018,Medium-Light,5.29
145,2,93.0,October 2018,Medium-Light,4.7
146,40,94.0,October 2018,Medium-Light,5.29
147,2,93.0,October 2018,Medium-Light,4.7
148,2,92.0,October 2018,Medium-Light,4.41
149,43,93.0,October 2018,Medium-Light,5.29
150,0,93.0,October 2018,Medium-Light,5.0
151,36,94.0,September 2018,Medium-Light,5.14
152,36,94.0,September 2018,Medium-Light,6.03
153,32,95.0,September 2018,Medium-Light,5.51
154,32,93.0,September 2018,Medium-Light,5.51
155,32,91.0,September 2018,Medium-Light,4.63
156,32,94.0,October 2018,Medium-Light,5.73
157,36,94.0,October 2018,Medium-Light,5.73
158,32,94.0,October 2018,Medium-Light,5.73
159,49,96.0,October 2018,Medium-Light,33.07
160,0,94.0,October 2018,Medium-Light,4.92
161,41,93.0,October 2018,Medium-Light,3.97
162,31,93.0,October 2018,Medium,3.51
163,70,93.0,October 2018,Medium-Light,5.88
164,60,92.0,October 2018,Light,6.17
165,71,92.0,October 2018,Medium-Light,4.7
166,13,92.0,October 2018,Medium-Light,3.53
167,72,95.0,October 2018,Medium-Dark,9.91
168,72,94.0,October 2018,Medium-Dark,10.62
169,12,96.0,October 2018,Medium-Light,5.31
170,37,93.0,November 2018,Medium,4.98
171,73,90.0,November 2018,Medium-Light,4.76
172,24,94.0,November 2018,Medium-Light,5.86
173,74,92.0,November 2018,Medium,3.6
174,75,91.0,November 2018,Light,5.29
175,76,95.0,October 2018,Medium-Light,5.73
176,49,95.0,October 2018,Medium-Light,33.07
177,49,96.0,October 2018,Medium-Light,19.84
178,29,91.0,October 2018,Medium-Light,4.54
179,36,92.0,October 2018,Medium-Light,5.44
180,36,92.0,October 2018,Medium-Light,5.14
181,77,93.0,November 2018,Medium-Light,9.6
182,77,93.0,November 2018,Medium-Light,8.0
183,16,90.0,November 2018,Medium-Light,5.0
184,49,95.0,November 2018,Medium-Light,30.86
185,49,94.0,November 2018,Medium-Light,19.84
186,78,95.0,November 2018,Medium-Light,20.53
187,35,94.0,November 2018,Medium-Light,6.17
188,79,93.0,November 2018,Medium-Light,5.29
189,29,93.0,November 2018,Medium-Light,5.57
190,12,93.0,November 2018,Light,7.08
191,64,93.0,November 2018,Light,11.02
192,80,95.0,December 2018,Medium-Light,7.94
193,81,94.0,December 2018,Medium-Light,14.11
194,35,94.0,December 2018,Medium-Light,19.84
195,4,94.0,December 2018,Medium-Light,15.87
196,4,93.0,December 2018,Medium-Light,11.75
197,4,93.0,December 2018,Medium-Light,11.75
198,18,93.0,November 2018,Medium-Light,4.98
199,36,91.0,November 2018,Medium-Light,5.58
200,19,91.0,November 2018,Medium-Light,4.41
201,19,90.0,November 2018,Medium,4.98
202,35,93.0,November 2018,Medium-Light,6.76
203,11,96.0,November 2018,Medium,19.82
204,82,93.0,December 2018,Medium-Light,4.7
205,64,94.0,December 2018,Medium-Light,7.05
206,3,94.0,December 2018,Medium-Light,5.29
207,36,93.0,December 2018,Medium-Light,5.14
208,3,94.0,December 2018,Light,5.29
209,36,93.0,December 2018,Medium,5.88
210,32,92.0,December 2018,Medium-Light,4.7
211,12,94.0,December 2018,Medium-Light,4.25
212,12,95.0,December 2018,Medium-Light,4.11
213,12,94.0,December 2018,Medium-Light,4.25
214,4,93.0,December 2018,Medium-Light,16.17
215,63,93.0,December 2018,Medium-Light,5.73
216,83,92.0,December 2018,Medium-Light,7.35
217,84,92.0,December 2018,Medium-Light,6.76
218,85,92.0,February 2019,Medium-Light,6.17
219,86,92.0,February 2019,Medium-Light,5.66
220,11,95.0,February 2019,Medium-Light,19.82
221,87,94.0,February 2019,Medium-Light,6.61
222,32,94.0,February 2019,Medium-Light,5.44
223,88,93.0,February 2019,Medium-Light,6.4
224,21,93.0,January 2019,Medium-Light,5.0
225,89,95.0,January 2019,Medium,5.58
226,89,93.0,January 2019,Medium-Light,5.88
227,32,94.0,January 2019,Medium-Light,4.97
228,10,93.0,January 2019,Medium-Light,5.28
229,35,97.0,January 2019,Medium-Light,26.46
230,90,94.0,December 2018,Medium-Light,6.61
231,10,94.0,December 2018,Medium-Light,7.61
232,49,94.0,February 2019,Medium-Light,7.05
233,49,94.0,February 2019,Medium-Light,5.29
234,89,94.0,February 2019,Medium,6.47
235,91,92.0,February 2019,Medium-Light,5.58
236,31,91.0,February 2019,Medium,4.11
237,92,92.0,February 2019,Medium-Light,5.29
238,29,93.0,February 2019,Medium-Light,11.76
239,93,93.0,February 2019,Medium-Light,5.58
240,94,93.0,February 2019,Medium-Light,5.29
241,4,94.0,February 2019,Medium-Light,4.41
242,10,93.0,March 2019,Medium-Light,7.61
243,95,93.0,March 2019,Medium-Light,6.91
244,2,93.0,March 2019,Medium-Light,4.7
245,28,93.0,March 2019,Medium-Light,13.23
246,28,92.0,March 2019,Medium-Light,13.23
247,2,91.0,March 2019,Medium-Light,4.41
248,43,94.0,March 2019,Medium-Light,5.58
249,67,94.0,March 2019,Medium-Light,5.29
250,96,94.0,March 2019,Light,3.56
251,49,97.0,February 2019,Medium-Light,5.29
252,64,93.0,April 2019,Medium-Light,6.8
253,29,92.0,April 2019,Light,4.98
254,12,95.0,April 2019,Medium-Light,4.6
255,12,94.0,April 2019,Medium-Light,15.58
256,97,93.0,April 2019,Medium,16.29
257,60,92.0,March 2019,Medium-Light,5.0
258,98,90.0,March 2019,Medium,10.58
259,89,92.0,May 2019,Medium-Light,5.44
260,99,95.0,April 2019,Medium-Light,5.58
261,32,93.0,April 2019,Medium-Light,4.76
262,32,92.0,April 2019,Medium-Light,4.76
263,100,95.0,April 2019,Medium-Light,4.96
264,95,95.0,April 2019,Medium,16.53
265,16,90.0,April 2019,Medium-Light,4.69
266,78,93.0,April 2019,Medium,8.38
267,10,93.0,April 2019,Medium-Light,5.86
268,32,91.0,May 2019,Medium-Light,4.67
269,10,94.0,May 2019,Light,17.59
270,101,94.0,May 2019,Medium-Light,37.04
271,102,93.0,May 2019,Medium-Light,10.93
272,11,93.0,May 2019,Medium-Light,28.2
273,103,93.0,May 2019,Medium-Light,21.6
274,104,92.0,May 2019,Medium-Light,10.58
275,105,92.0,May 2019,Medium-Light,14.11
276,106,91.0,May 2019,Medium-Light,4.7
277,107,94.0,May 2019,Medium,17.07
278,107,94.0,May 2019,Medium-Light,8.53
279,108,93.0,May 2019,Medium,12.35
280,89,92.0,June 2019,Medium-Light,5.29
281,55,95.0,June 2019,Medium-Light,9.39
282,10,94.0,June 2019,Medium-Light,7.33
283,75,94.0,June 2019,Medium-Light,5.88
284,12,94.0,May 2019,Medium-Light,5.1
285,99,93.0,May 2019,Medium,17.64
286,12,92.0,May 2019,Medium,2.55
287,32,94.0,May 2019,Medium-Light,43.65
288,35,96.0,May 2019,Medium-Light,26.46
289,35,92.0,May 2019,Medium-Light,5.58
290,32,91.0,May 2019,Medium-Light,4.67
291,32,97.0,July 2019,Medium-Light,6.23
292,35,93.0,July 2019,Medium-Light,8.82
293,109,92.0,June 2019,Medium-Light,4.41
294,40,93.0,June 2019,Medium-Light,6.17
295,32,93.0,June 2019,Medium-Light,4.67
296,12,93.0,June 2019,Medium-Light,3.68
297,12,93.0,June 2019,Medium,2.83
298,49,96.0,August 2019,Medium-Light,5.29
299,38,94.0,August 2019,Medium-Light,6.76
300,43,94.0,August 2019,Medium,5.58
301,110,90.0,August 2019,Medium-Light,21.16
302,64,93.0,August 2019,Medium-Light,2.56
303,111,93.0,July 2019,Medium-Light,13.23
304,112,93.0,July 2019,Medium-Light,90.83
305,32,93.0,July 2019,Medium-Light,4.82
306,12,93.0,July 2019,Medium-Dark,3.19
307,29,94.0,July 2019,Medium-Light,11.76
308,32,97.0,July 2019,Medium-Light,6.23
309,12,95.0,August 2019,Medium,4.96
310,12,94.0,August 2019,Medium-Light,3.68
311,12,94.0,August 2019,Medium-Light,3.89
312,113,92.0,August 2019,Light,16.7
313,114,91.0,August 2019,Medium,7.35
314,115,91.0,August 2019,Medium,9.92
315,116,93.0,August 2019,Medium-Light,6.34
316,16,94.0,August 2019,Medium,6.17
317,12,94.0,August 2019,Medium-Light,4.25
318,89,93.0,August 2019,Medium,5.58
319,89,92.0,August 2019,Medium,6.76
320,89,92.0,August 2019,Medium-Light,5.58
321,32,94.0,August 2019,Medium-Light,22.71
322,117,96.0,September 2019,Medium-Light,21.24
323,49,95.0,September 2019,Medium-Light,26.46
324,77,94.0,September 2019,Medium-Light,38.4
325,118,94.0,September 2019,Medium-Light,22.05
326,89,94.0,September 2019,Medium-Light,5.58
327,32,94.0,September 2019,Medium-Light,5.03
328,32,93.0,September 2019,Medium-Light,5.03
329,13,94.0,August 2019,Medium-Light,3.53
330,32,93.0,August 2019,Medium-Light,5.5
331,32,93.0,August 2019,Medium-Light,5.5
332,119,94.0,August 2019,Light,4.96
333,120,93.0,October 2019,Medium-Light,5.88
334,121,93.0,October 2019,Medium-Light,5.29
335,32,95.0,October 2019,Medium-Light,17.61
336,12,94.0,October 2019,Medium-Light,4.6
337,12,93.0,October 2019,Medium,3.54
338,12,92.0,October 2019,Medium-Light,3.54
339,12,92.0,October 2019,Medium,2.83
340,37,92.0,October 2019,Medium,8.8
341,72,94.0,October 2019,Dark,8.5
342,76,94.0,September 2019,Medium-Light,5.73
343,35,96.0,September 2019,Medium,26.46
344,122,93.0,November 2019,Medium-Light,5.29
345,34,93.0,November 2019,Light,5.29
346,123,92.0,November 2019,Medium-Light,25.6
347,64,92.0,November 2019,Medium-Light,19.2
348,120,93.0,November 2019,Medium-Light,5.88
349,89,93.0,October 2019,Medium-Light,6.47
350,108,91.0,October 2019,Light,5.29
351,124,96.0,October 2019,Medium-Light,69.0
352,125,92.0,October 2019,Medium-Light,5.29
353,126,92.0,October 2019,Medium-Light,4.7
354,24,95.0,November 2019,Medium-Light,6.45
355,64,95.0,November 2019,Medium-Light,3.2
356,24,93.0,November 2019,Medium-Light,5.28
357,24,93.0,November 2019,Medium-Light,6.16
358,88,93.0,November 2019,Medium-Light,6.4
359,32,94.0,November 2019,Medium-Light,5.64
360,26,93.0,November 2019,Medium-Dark,15.58
361,127,93.0,November 2019,Medium-Light,5.88
362,128,95.0,December 2019,Medium-Light,9.12
363,129,93.0,December 2019,Medium-Light,5.86
364,40,93.0,December 2019,Medium-Light,6.17
365,128,93.0,December 2019,Medium-Light,8.0
366,40,92.0,December 2019,Medium-Light,6.17
367,130,91.0,December 2019,Medium,6.4
368,24,90.0,December 2019,Medium-Light,4.98
369,131,93.0,December 2019,Medium-Light,4.8
370,24,94.0,November 2019,Medium-Light,41.12
371,12,94.0,November 2019,Medium,4.25
372,12,94.0,November 2019,Medium-Light,4.25
373,12,94.0,November 2019,Medium-Light,4.25
374,3,95.0,November 2019,Medium-Light,6.17
375,10,93.0,December 2019,Medium-Light,17.59
376,37,93.0,December 2019,Medium,4.69
377,10,93.0,January 2020,Medium,5.86
378,132,93.0,January 2020,Medium-Light,5.29
379,133,92.0,January 2020,Medium,4.03
380,77,95.0,January 2020,Medium-Light,8.8
381,77,94.0,January 2020,Medium-Light,16.0
382,77,93.0,January 2020,Medium-Light,8.0
383,10,96.0,December 2019,Medium-Light,17.59
384,10,95.0,December 2019,Medium-Light,5.81
385,134,93.0,December 2019,Medium,6.61
386,135,94.0,December 2019,Medium,32.0
387,135,92.0,December 2019,Medium-Light,32.0
388,135,92.0,December 2019,Medium-Light,32.0
389,136,91.0,December 2019,Medium,8.53
390,135,90.0,December 2019,Medium,32.0
391,137,92.0,February 2020,Medium,4.11
392,138,90.0,February 2020,Medium-Light,4.11
393,139,90.0,February 2020,Medium,3.32
394,140,88.0,February 2020,Medium,1.49
395,141,87.0,February 2020,Dark,3.08
396,11,95.0,February 2020,Medium-Light,27.76
397,142,94.0,February 2020,Medium-Light,45.31
398,142,91.0,February 2020,Medium-Light,6.23
399,35,93.0,February 2020,Medium-Light,5.58
400,32,94.0,January 2020,Medium-Light,5.26
401,0,93.0,February 2020,Medium-Light,5.14
402,143,92.0,February 2020,Medium-Light,5.29
403,89,92.0,February 2020,Medium-Light,5.73
404,10,94.0,February 2020,Medium-Light,5.81
405,13,92.0,February 2020,Medium,3.53
406,32,92.0,February 2020,Medium-Light,5.41
407,13,91.0,February 2020,Medium-Light,13.23
408,32,90.0,February 2020,Medium-Light,4.76
409,128,94.0,February 2020,Medium,9.6
410,12,95.0,February 2020,Medium-Light,4.6
411,144,93.0,February 2020,Medium-Light,4.41
412,101,92.0,February 2020,Medium-Light,5.29
413,32,91.0,March 2020,Medium-Light,5.26
414,32,90.0,March 2020,Medium-Light,5.26
415,145,92.0,March 2020,Medium,10.58
416,145,91.0,March 2020,Medium,3.97
417,49,95.0,March 2020,Medium-Light,5.88
418,146,94.0,February 2020,Medium-Light,25.2
419,146,91.0,February 2020,Medium-Light,17.61
420,146,90.0,February 2020,Medium-Light,17.61
421,3,95.0,February 2020,Medium-Light,6.17
422,10,92.0,February 2020,Medium-Light,5.86
423,0,96.0,April 2020,Light,9.7
424,147,94.0,April 2020,Medium-Light,6.61
425,148,93.0,April 2020,Medium,5.29
426,63,93.0,April 2020,Medium-Light,5.0
427,54,92.0,April 2020,Medium-Light,5.29
428,149,92.0,April 2020,Medium-Light,5.88
429,0,94.0,April 2020,Medium-Light,6.76
430,95,94.0,April 2020,Medium-Light,6.91
431,128,92.0,April 2020,Medium,8.48
432,150,94.0,March 2020,Medium-Light,4.85
433,10,93.0,March 2020,Medium-Light,22.0
434,40,92.0,March 2020,Light,6.17
435,75,94.0,May 2020,Medium-Light,8.52
436,75,94.0,May 2020,Medium-Light,8.52
437,147,93.0,April 2020,Medium-Light,5.0
438,151,91.0,April 2020,Light,5.88
439,89,93.0,April 2020,Medium-Light,5.88
440,12,94.0,April 2020,Medium-Light,4.25
441,12,93.0,April 2020,Medium-Light,4.25
442,10,93.0,April 2020,Medium-Light,11.73
443,10,94.0,May 2020,Light,7.33
444,10,93.0,May 2020,Medium-Light,17.59
445,133,92.0,May 2020,Medium-Light,7.05
446,152,91.0,May 2020,Medium,10.58
447,3,96.0,May 2020,Medium-Light,6.17
448,43,95.0,May 2020,Medium-Light,5.58
449,11,94.0,May 2020,Medium-Light,0.17
450,24,94.0,May 2020,Medium-Light,20.55
451,151,94.0,May 2020,Medium-Light,17.64
452,30,93.0,May 2020,Medium,5.29
453,97,94.0,May 2020,Medium-Light,13.23
454,153,93.0,May 2020,Medium-Light,5.88
455,37,93.0,May 2020,Medium-Light,5.86
456,35,93.0,June 2020,Medium-Light,5.58
457,154,92.0,June 2020,Medium,8.46
458,102,94.0,June 2020,Medium-Light,12.35
459,102,93.0,June 2020,Medium-Light,10.58
460,104,93.0,June 2020,Medium,17.64
461,10,94.0,June 2020,Medium-Light,6.75
462,155,93.0,June 2020,Medium,5.58
463,28,92.0,June 2020,Medium,13.23
464,77,95.0,June 2020,Medium-Light,9.28
465,12,92.0,June 2020,Medium-Light,6.37
466,32,93.0,June 2020,Medium-Light,5.51
467,28,93.0,June 2020,Medium-Light,14.55
468,28,92.0,June 2020,Medium,14.55
469,60,93.0,May 2020,Medium-Light,5.88
470,89,94.0,June 2020,Medium,6.17
471,0,94.0,June 2020,Medium-Light,6.17
472,0,93.0,June 2020,Medium-Light,5.0
473,10,94.0,June 2020,Medium,16.71
474,49,94.0,June 2020,Medium-Light,5.88
475,12,94.0,June 2020,Medium-Light,3.19
476,67,92.0,June 2020,Medium-Light,5.29
477,12,92.0,June 2020,Medium-Light,11.33
478,32,96.0,June 2020,Medium-Light,5.51
479,32,93.0,June 2020,Medium-Light,5.0
480,69,94.0,June 2020,,111.11
481,122,93.0,July 2020,,1.32
482,156,94.0,July 2020,,1.34
483,77,94.0,July 2020,,4.27
484,151,94.0,June 2020,Light,17.64
485,151,94.0,June 2020,Medium-Light,7.35
486,28,95.0,June 2020,Medium-Light,16.75
487,32,96.0,July 2020,Medium-Light,6.17
488,32,95.0,July 2020,Medium-Light,6.17
489,155,93.0,July 2020,Medium-Light,5.29
490,32,95.0,July 2020,Medium-Light,6.17
491,10,94.0,July 2020,Medium-Light,9.96
492,35,93.0,July 2020,Medium-Light,8.23
493,12,95.0,July 2020,Medium-Light,3.89
494,32,93.0,July 2020,Medium-Light,5.36
495,157,92.0,July 2020,Medium,5.28
496,158,94.0,August 2020,Medium-Light,5.58
497,13,94.0,August 2020,Medium-Light,4.12
498,13,90.0,August 2020,Medium-Light,4.12
499,10,94.0,August 2020,Light,11.73
500,10,94.0,August 2020,Light,17.62
501,159,93.0,August 2020,Medium-Light,5.77
502,160,94.0,August 2020,Light,5.66
503,159,93.0,August 2020,Medium-Light,5.82
504,116,95.0,August 2020,Medium-Light,8.5
505,161,93.0,August 2020,Medium-Light,5.29
506,161,90.0,August 2020,Medium-Light,5.88
507,162,93.0,July 2020,Medium-Light,5.29
508,6,93.0,August 2020,Medium-Light,5.29
509,163,95.0,August 2020,Medium-Light,5.29
510,164,94.0,August 2020,Light,4.12
511,165,94.0,August 2020,Light,4.7
512,166,94.0,August 2020,Light,5.29
513,167,93.0,August 2020,Medium-Light,5.29
514,168,92.0,August 2020,Light,13.52
515,169,94.0,August 2020,Medium-Light,6.17
516,109,93.0,August 2020,Medium-Light,4.41
517,3,94.0,August 2020,Light,5.58
518,109,93.0,August 2020,Medium-Light,4.41
519,3,94.0,August 2020,Light,5.44
520,170,91.0,August 2020,Medium,4.28
521,170,90.0,August 2020,Medium-Light,4.28
522,147,95.0,August 2020,Medium-Light,4.7
523,147,93.0,August 2020,Medium-Light,4.7
524,147,91.0,August 2020,Medium-Light,4.7
525,12,96.0,August 2020,Medium-Light,5.66
526,12,94.0,August 2020,Medium-Light,4.11
527,6,94.0,August 2020,Light,5.88
528,159,93.0,September 2020,Medium-Light,5.82
529,171,92.0,September 2020,Medium-Light,7.05
530,10,93.0,September 2020,Light,7.33
531,12,93.0,September 2020,Medium-Light,2.83
532,86,93.0,September 2020,Medium-Light,7.08
533,37,92.0,September 2020,Medium,4.98
534,172,93.0,September 2020,Medium-Light,9.74
535,162,93.0,September 2020,Medium-Light,5.29
536,49,94.0,September 2020,Medium-Light,6.47
537,49,94.0,September 2020,Medium-Light,7.05
538,173,94.0,August 2020,Medium-Light,8.81
539,32,95.0,August 2020,Medium-Light,6.17
540,122,93.0,September 2020,Medium-Light,5.64
541,10,96.0,September 2020,Medium-Light,26.41
542,10,94.0,September 2020,Medium-Light,22.0
543,16,94.0,September 2020,Medium-Light,5.86
544,32,94.0,September 2020,Medium-Light,5.51
545,32,92.0,September 2020,Medium-Light,5.73
546,160,93.0,September 2020,Light,3.54
547,77,94.0,September 2020,Medium-Light,8.0
548,174,93.0,September 2020,Medium-Light,5.29
549,175,92.0,September 2020,Medium-Light,5.36
550,60,93.0,September 2020,Medium-Light,6.17
551,35,94.0,October 2020,Medium-Light,5.88
552,129,94.0,October 2020,Medium-Light,5.88
553,95,94.0,October 2020,Medium-Light,5.73
554,129,93.0,October 2020,Light,5.88
555,11,95.0,October 2020,Medium-Light,27.76
556,176,84.0,October 2020,Medium-Dark,11.02
557,10,93.0,September 2020,Medium-Light,22.0
558,89,94.0,September 2020,Medium-Light,6.03
559,21,94.0,September 2020,Light,4.7
560,177,94.0,September 2020,Medium-Light,7.65
561,177,94.0,September 2020,Light,80.0
562,10,92.0,September 2020,Medium-Light,7.61
563,178,94.0,September 2020,Medium-Light,13.23
564,12,94.0,October 2020,Medium-Light,3.89
565,32,95.0,October 2020,Medium-Light,5.26
566,32,94.0,October 2020,Medium-Light,5.51
567,32,94.0,October 2020,Medium-Light,12.35
568,179,92.0,October 2020,Light,6.47
569,32,92.0,October 2020,Medium-Light,5.88
570,179,91.0,October 2020,Medium-Light,6.76
571,179,90.0,October 2020,Medium-Light,14.11
572,101,95.0,October 2020,Medium,6.47
573,21,95.0,October 2020,Medium-Light,5.0
574,48,95.0,October 2020,Medium-Light,10.57
575,180,95.0,October 2020,Medium-Light,7.82
576,46,94.0,October 2020,Medium-Light,6.34
577,12,94.0,October 2020,Medium-Light,4.6
578,24,94.0,October 2020,Medium-Light,6.45
579,181,94.0,October 2020,Medium-Light,7.33
580,64,94.0,October 2020,Medium-Light,8.0
581,182,94.0,October 2020,Medium-Light,6.76
582,183,94.0,October 2020,Medium-Light,5.29
583,184,94.0,October 2020,Medium-Light,3.82
584,184,93.0,October 2020,Medium-Light,4.85
585,184,92.0,October 2020,Medium,4.85
586,184,90.0,October 2020,Medium-Light,4.85
587,184,89.0,October 2020,Medium-Light,2.94
588,184,86.0,October 2020,Medium,1.47
589,184,86.0,October 2020,Medium-Dark,1.47
590,12,97.0,October 2020,Medium-Light,5.66
591,173,94.0,October 2020,Medium-Light,10.58
592,151,94.0,October 2020,Medium-Light,7.35
593,109,93.0,October 2020,Medium-Light,5.29
594,89,92.0,October 2020,Medium-Light,6.91
595,157,94.0,October 2020,Medium-Light,4.98
596,157,92.0,October 2020,Medium-Light,6.75
597,10,95.0,October 2020,Light,17.59
598,10,94.0,October 2020,Medium-Light,17.59
599,185,94.0,October 2020,Medium-Light,5.88
600,32,93.0,November 2020,Medium-Light,4.64
601,32,93.0,November 2020,Medium-Light,6.47
