user,item,rating,timestamp,feature,feature1
52,79,3.91,2004.0,Fiction,John Ronald Reuel Tolkien;Ted Nasmith
53,80,4.16,2004.0,Children's stories,Dr. Seuss;Barney Tobey
19,81,4.01,2004.0,Children's stories,Dr. Seuss
5,82,3.98,2004.0,Boys,Louis Sachar
13,83,3.88,2004.0,Computer programmers,Douglas Coupland
42,84,3.48,2004.0,Actors,Douglas Coupland
11,85,3.94,2004.0,Friendship,Cecelia Ahern
51,86,4.2,2005.0,Authors,Agatha Christie
5,87,4.52,2004.0,Costume,Gary Russell
23,88,3.83,2004.0,African American plantation owners,Edward P. Jones
54,89,3.9,2004.0,Conduct of life,Robin Sharma
4,90,3.44,2005.0,Alienation (Social psychology),William S. Burroughs
55,91,3.69,2005.0,Fiction,Henry Miller
52,92,3.99,2006.0,Cowboys,Annie Proulx
4,93,3.65,1994.0,Fiction,F. Scott Fitzgerald
56,94,4.02,1992.0,Fiction,Evangeline Walton
57,95,3.93,1995.0,Fiction,Annie Proulx
38,96,4.09,1970.0,Juvenile Fiction,Clive Staples Lewis
58,97,4.26,1978.0,Fairy tales,Clive Staples Lewis
59,98,4.26,1986.0,Fiction,Ernest Hemingway
60,99,4.22,1982.0,Christianity,Clive Staples Lewis
38,100,3.64,1953.0,Philosophy,Georg Wilhelm Friedrich Hegel
60,101,4.2,1979.0,Language Arts & Disciplines,William Strunk;Elwyn Brooks White
28,102,4.04,1966.0,Philosophy,Philip Wheelwright
17,103,4.12,1976.0,History,Albert Speer
21,104,4.17,1971.0,"Animals, Treatment of",Clarence William Anderson
52,105,3.75,1960.0,Grandmothers,Edith Unnerstad
61,106,3.82,1995.0,History,Lani Guinier
32,107,4.04,1986.0,History,Aldon D. Morris
62,108,3.79,1991.0,History,Richard E. Neustadt
63,109,4.01,1978.0,Juvenile Fiction,Jacquelyn Reinach;Richard Hefter
59,110,4.37,2000.0,Juvenile Fiction,Wilson Rawls
64,111,3.99,2006.0,Juvenile Fiction,Avi
65,112,4.25,2005.0,Juvenile Fiction,Doreen Cronin
50,113,3.7,2005.0,Juvenile Fiction,Louisa May Alcott;James Bernardin
66,114,3.84,2005.0,Business & Economics,Barry Schwartz
67,115,3.65,2003.0,Literary Criticism,Thomas C. Foster
2,116,4.05,2001.0,Juvenile Fiction,Terry Pratchett
68,117,4.27,2004.0,Juvenile Fiction,Terry Pratchett
62,118,4.38,2004.0,Fiction,Terry Pratchett
69,119,4.27,2002.0,Science,Peter Watson
24,120,3.69,2002.0,Fiction,Meg Cabot
70,121,3.85,1962.0,Fiction,Aldous Huxley
44,122,4.09,2006.0,Biography & Autobiography,James Shapiro
71,123,3.76,2002.0,Fiction,Marian Keyes
47,124,3.36,2002.0,Fiction,Michael Crichton
10,125,3.96,2003.0,Literary Criticism,Milan Kundera
72,126,4.06,2003.0,Juvenile Fiction,Terry Pratchett
73,127,4.29,2002.0,Juvenile Fiction,Peggy Parish
35,128,3.68,1998.0,Fiction,Milan Kundera
68,129,4.19,1992.0,Fiction,Clive Barker
48,130,3.85,1998.0,Fiction,Paulo Coelho;Alan R. Clarke;Moebius
74,131,3.54,1998.0,Family & Relationships,John Gray
61,132,4.25,1996.0,Juvenile Fiction,Julie Andrews Edwards
69,133,4.15,1998.0,Juvenile Fiction,Jamie Lee Curtis
56,134,4.33,1981.0,Juvenile Fiction,Shel Silverstein
8,135,4.15,1963.0,Juvenile Fiction,Shel Silverstein
75,136,4.28,1999.0,Juvenile Nonfiction,Amy Cotler
71,137,4.3,1998.0,Juvenile Nonfiction,William Anderson
49,138,3.51,1995.0,African Americans in radio broadcasting,Robin Quivers
62,139,4.03,2003.0,Fiction,Mary Stewart
51,140,4.01,2003.0,Literary Collections,Barbara Kingsolver
13,141,3.75,2002.0,Fiction,Dan Simmons
51,142,3.75,2002.0,Fiction,Chip Kidd
76,143,3.95,2002.0,Biography & Autobiography,Michael Crichton
77,144,4.36,2003.0,Fiction,Colleen McCullough
76,145,4.15,2003.0,Fiction,Joe Haldeman
58,146,4.14,2003.0,Juvenile Fiction,Peggy Parish
26,147,3.65,2005.0,Fiction,Elizabeth Lowell
1,148,4.25,2005.0,Juvenile Fiction,Peggy Parish
78,149,3.78,2006.0,Fiction,Elizabeth Lowell
26,150,4.21,2004.0,Juvenile Fiction,Peggy Parish
79,151,4.25,2002.0,Fiction,Neal Stephenson
15,152,4.34,2002.0,Juvenile Nonfiction,Shel Silverstein
2,153,4.02,2006.0,Fiction,Neil Gaiman
80,154,4.01,2006.0,Fiction,Neil Gaiman
10,155,3.49,2003.0,History,Bernard Lewis
79,156,4.22,2004.0,Literary Criticism,Mark Twain
43,157,3.98,2003.0,Fiction,Mary Kay Andrews
12,158,3.56,2003.0,Juvenile Fiction,Sid Fleischman
59,159,3.99,2003.0,Business & Economics,Clayton M. Christensen
60,160,3.47,2003.0,Fiction,Lee Charles Kelley
27,161,3.78,2003.0,Fiction,Will Ferguson
17,162,3.74,2006.0,Fiction,Meg Cabot
40,163,3.7,2004.0,Fiction,Paulo Coelho
81,164,3.6,2006.0,Fiction,Paulo Coelho
36,165,3.08,2006.0,Business & Economics,Stanley Bing
82,166,4.06,2003.0,Fiction,Gabriel Garcia Marquez
74,167,3.99,2003.0,Biography & Autobiography,Justin Kaplan
83,168,3.75,2004.0,Biography & Autobiography,Jenna Jameson;Neil Strauss
84,169,4.16,1953.0,Fiction,Richard Wright
36,170,3.59,2004.0,History,Gavin Menzies
74,171,3.89,2003.0,Fiction,Michael Crichton
85,172,3.58,2003.0,Fiction,Michael Crichton
11,173,3.78,2006.0,Juvenile Fiction,Terry Pratchett
12,174,4.41,2003.0,Juvenile Fiction,Peggy Parish
49,175,3.96,2005.0,Juvenile Fiction,Thomas Kinkade;Erika Tamar
2,176,4.22,2006.0,Biography & Autobiography,Sam Weller
70,177,3.74,2005.0,Juvenile Fiction,Gregory Maguire
67,178,4.09,2003.0,Fiction,Mary Stewart
71,179,3.74,2005.0,Biography & Autobiography,Neil Strauss
3,180,4.19,2004.0,Juvenile Fiction,C. S. Lewis
86,181,3.99,2003.0,Fiction,Isaac Asimov
74,182,4.01,2007.0,Fiction,Katrina Kittle
79,183,3.98,2004.0,Business & Economics,Jim Collins;Jerry I. Porras
87,184,3.75,2004.0,Fiction,Christopher Moore
80,185,4.1,2004.0,Fiction,Roger Zelazny
8,186,4.23,2004.0,Philosophy,Aldous Huxley
44,187,3.78,2006.0,History,Simon Winchester
65,188,4.04,2004.0,Fiction,Kim Harrison
66,189,4.26,2005.0,Fiction,Kim Harrison
51,190,3.54,2004.0,Family & Relationships,John Gray
53,191,4.17,2004.0,Fiction,Garth Nix
51,192,3.99,2006.0,Poetry,Charles Bukowski
2,193,3.92,2006.0,Self-Help,Laura Schlessinger
66,194,4.3,2005.0,Fiction,Shirley Rousseau Murphy
42,195,4.2,2006.0,Fiction,Shirley Rousseau Murphy
83,196,4.18,2004.0,Sports & Recreation,Patrick Robinson
47,197,3.84,2006.0,True Crime,Don Wolfe
31,198,3.62,2005.0,Fiction,Janet Evanovich
62,199,3.67,2006.0,Fiction,Janet Evanovich
49,200,4.18,2003.0,Fiction,Dennis Lehane
23,201,4.02,2004.0,Fiction,Herman Melville
88,202,4.03,2006.0,Juvenile Fiction,Neil Gaiman
89,203,3.69,2005.0,Fiction,Paulo Coelho
13,204,3.77,2006.0,Psychology,Robert M. Pirsig
87,205,3.88,2004.0,Biography & Autobiography,Michael Korda
66,206,4.07,2006.0,Fiction,Christopher Moore
41,207,3.93,2004.0,Fiction,Neal Stephenson
83,208,3.96,2006.0,Literary Criticism,Nicholas A. Basbanes
7,209,3.93,2005.0,Fiction,Suzanne Enoch
27,210,3.92,2004.0,Fiction,James Hilton
90,211,3.94,2004.0,Philosophy,Aldous Huxley
77,212,3.6,2006.0,Fiction,Janet Evanovich
82,213,3.65,2005.0,Fiction,Janet Evanovich
75,214,3.67,2005.0,Fiction,Janet Evanovich
11,215,3.67,2004.0,Fiction,Janet Evanovich
49,216,3.92,2005.0,Biography & Autobiography,Christopher Hitchens
69,217,4.04,2006.0,Biography & Autobiography,Karen Armstrong
34,218,4.14,1995.0,Religion,Marcus J. Borg
56,219,4.13,2002.0,Religion,Marcus J. Borg
45,220,4.39,1989.0,Religion,Elisabeth Elliot
0,221,3.96,2002.0,Religion,Sue Monk Kidd
3,222,4.31,1996.0,Religion,C. S. Lewis
71,223,4.22,2001.0,Religion,C. S. Lewis
55,224,4.32,2001.0,Religion,C. S. Lewis
49,225,4.5,1998.0,Religion,Thomas Merton
91,226,4.17,2004.0,Juvenile Fiction,Meg Cabot
0,227,4.07,2003.0,Biography & Autobiography,Johnny Cash
89,228,4.37,2004.0,Biography & Autobiography,C. S. Lewis
1,229,4.21,2004.0,Sports & Recreation,Joe Simpson
75,230,3.91,2006.0,Fiction,Marian Keyes
84,231,4.14,2004.0,Juvenile Fiction,Jennifer Frantz
71,232,4.25,2005.0,Fiction,Neal Stephenson
24,233,3.99,2004.0,Juvenile Fiction,Katherine Paterson
49,234,3.82,2004.0,Fiction,Christopher Moore
39,235,3.79,2004.0,Fiction,Christopher Moore
2,236,3.86,2004.0,Fiction,Christopher Moore
8,237,3.74,2004.0,Juvenile Fiction,Francesca Lia Block
53,238,3.9,2006.0,Juvenile Fiction,Peter Abrahams
17,239,3.71,2004.0,Juvenile Fiction,Karen Cushman
86,240,3.53,2004.0,Fiction,Gregory Maguire
92,241,3.47,2006.0,Fiction,Gregory Maguire
21,242,4.05,2004.0,Fiction,Mary Stewart
25,243,4.04,2004.0,Fiction,Mary Stewart
27,244,4.15,2004.0,Juvenile Fiction,Meg Cabot
29,245,4.05,2005.0,Juvenile Fiction,Robin McKinley
33,246,4.13,2006.0,Psychology,Esther Perel
17,247,4.18,2006.0,Travel,Kevin Walsh
15,248,3.41,2007.0,Social Science,Marilyn Johnson
74,249,4.02,2005.0,Fiction,Kaye Gibbons
35,250,3.34,2005.0,Fiction,Elizabeth Noble
93,251,3.5,2005.0,Juvenile Fiction,Gregory Maguire
10,252,4.2,2005.0,Religion,C. S. Lewis
56,253,3.84,2006.0,Juvenile Fiction,Francesca Lia Block
94,254,3.82,2005.0,Health & Fitness,Michael F Roizen;Mehmet C Oz
44,255,4.26,2005.0,Fiction,C. S. Lewis
83,256,4.21,2005.0,Juvenile Fiction,C. S. Lewis
27,257,3.89,2005.0,Juvenile Fiction,R.L. Stine
6,258,3.91,2005.0,Fiction,Lynsay Sands
5,259,4.27,2005.0,Juvenile Fiction,Margaret Wise Brown
71,260,4.16,2005.0,Fiction,Aldous Huxley
66,261,3.31,2005.0,Fiction,Michael Chabon
73,262,3.73,2005.0,Fiction,Ray Bradbury
84,263,3.61,2005.0,Fiction,Rene Steinke
2,264,4.0,2006.0,Juvenile Nonfiction,Editors of TIME For Kids
73,265,4.02,2007.0,Fiction,Charles Todd
84,266,3.81,2005.0,Fiction,Marian Keyes
95,267,4.28,2006.0,Fiction,Kim Harrison
9,268,4.33,2007.0,Fiction,Kim Harrison
6,269,3.64,2005.0,Fiction,Michael Chabon
91,270,3.9,2005.0,Fiction,Jonathan Safran Foer
77,271,3.95,2006.0,Fiction,Raymond E. Feist
2,272,4.0,2007.0,Fiction,Raymond E. Feist
70,273,3.08,2005.0,Health & Fitness,Jorge Cruise
54,274,3.99,2006.0,True Crime,Mark Bowden;Otto Penzler;Thomas H. Cook
70,275,4.03,2006.0,Fiction,Trudi Canavan
96,276,4.08,2007.0,Fiction,Trudi Canavan
84,277,3.54,2006.0,Fiction,Joyce Carol Oates
77,278,4.49,2004.0,Biography & Autobiography,C. S. Lewis
49,279,3.91,2005.0,Fiction,Mary Stewart
48,280,4.16,2006.0,Fiction,Neal Stephenson
92,281,4.2,2006.0,Fiction,Neal Stephenson
56,282,4.05,2005.0,Biography & Autobiography,Richard Wright
50,283,3.91,2005.0,Fiction,Paul Bowles
96,284,3.51,2006.0,Biography & Autobiography,John Shea
96,285,4.14,2005.0,Biography & Autobiography,Robert Hutchinson
87,286,4.23,2005.0,Fiction,Colleen McCullough
43,287,3.87,2005.0,History,Simon Winchester
63,288,3.84,2005.0,Biography & Autobiography,Simon Winchester
61,289,3.86,2006.0,Fiction,Lawrence Block
31,290,3.96,2006.0,Literary Collections,Milan Kundera
8,291,4.18,2005.0,Music,Steve Turner
29,292,4.21,2005.0,Juvenile Fiction,C. S. Lewis;Pauline Baynes
5,293,3.68,2005.0,Fiction,Oscar Hijuelos
7,294,3.91,2006.0,History,Eleanor Herman
24,295,3.98,2006.0,Fiction,Aldous Huxley
40,296,3.69,2006.0,Fiction,Meg Cabot
87,297,4.04,2007.0,Biography & Autobiography,Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp
45,298,4.25,2006.0,Fiction,Neil Gaiman;Terry Pratchett
82,299,3.78,2006.0,Fiction,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland
92,300,3.87,2007.0,Fiction,Russell Banks
81,301,3.89,2006.0,Fiction,Lawrence Block
61,302,3.49,2006.0,Fiction,Michael Crichton
50,303,3.54,2006.0,Juvenile Fiction,Meg Cabot
84,304,4.16,2006.0,Juvenile Nonfiction,E. B. White
61,305,4.1,2006.0,Juvenile Fiction,Jennifer Frantz
74,306,3.85,2006.0,Fiction,Gabriel Garcia Marquez
73,307,3.31,2006.0,Comics & Graphic Novels,Neil Strauss;Bernard Chang
43,308,4.18,2007.0,Juvenile Fiction,Laura Ingalls Wilder
53,309,4.06,2006.0,Juvenile Fiction,Laura Ingalls Wilder
27,310,4.14,2007.0,Juvenile Fiction,Laura Ingalls Wilder
39,311,4.18,2007.0,Juvenile Fiction,Laura Ingalls Wilder
92,312,3.88,2007.0,Juvenile Fiction,Laura Ingalls Wilder
63,313,3.85,2006.0,Fiction,Paulo Coelho
94,314,4.31,2006.0,Biography & Autobiography,Liz Goldwyn
50,315,3.66,2006.0,Fiction,Michael Crichton
27,316,4.03,2006.0,Science,Matt Ridley
6,317,3.5,2006.0,Fiction,Jess Walter
33,318,4.06,2007.0,Biography & Autobiography,Anthony Bourdain
80,319,4.23,1979.0,Psychology,James Hillman
0,320,3.7,1966.0,Fiction,Thomas Pynchon
48,321,3.91,1988.0,Biography & Autobiography,Annie Dillard
84,322,4.2,1988.0,Literary Criticism,Annie Dillard
92,323,4.22,1988.0,Literary Criticism,Annie Dillard
27,324,4.4,1989.0,Religion,Jiddu Krishnamurti
44,325,4.06,1990.0,Psychology,Harriet Lerner
25,326,3.97,1990.0,Fiction,Zora Neale Hurston
12,327,4.0,1990.0,Fiction,Zora Neale Hurston
71,328,3.96,1990.0,History,David Bradley
85,329,4.03,1990.0,Literary Criticism,Annie Dillard
2,330,3.83,1990.0,Travel,Bill Bryson
49,331,4.34,1990.0,Fiction,Annie Dillard
23,332,4.26,1991.0,Political science,Howard Zinn
64,333,4.25,1996.0,Fiction,Zora Neale Hurston
46,334,3.48,1994.0,History,Richard Shenkman
23,335,3.71,1994.0,Fiction,Isabel Allende
61,336,4.0,1994.0,Psychology,Thomas Moore
16,337,3.85,1995.0,History,Joseph Gies
74,338,4.16,1996.0,Poetry,Denis Johnson
87,339,3.72,1996.0,Fiction,Russell Banks
3,340,4.04,1996.0,Literary Collections,Milan Kundera
71,341,3.76,1996.0,Fiction,Oscar Hijuelos
89,342,3.66,1997.0,Fiction,Milan Kundera
8,343,3.97,2001.0,Medical,John Colapinto
12,344,4.16,1999.0,"Body, Mind & Spirit",Carlos Castaneda
54,295,3.98,1998.0,Fiction,Aldous Huxley
58,345,4.05,1998.0,Fiction,Thomas Wolfe
31,346,3.62,1999.0,Fiction,Paulo Coelho
12,347,3.96,1999.0,Fiction,Thomas Pynchon
67,128,3.68,1999.0,Fiction,Milan Kundera
40,348,4.05,1999.0,Fiction,Barbara Kingsolver
68,349,3.9,1999.0,Fiction,Russell Banks
97,350,3.39,2000.0,Philosophy,Lou Marinoff
5,320,3.7,1999.0,Fiction,Thomas Pynchon
64,351,3.82,2002.0,Biography & Autobiography,Simon Winchester;Soun Vannithone
22,352,3.75,1999.0,Fiction,Homer
82,353,4.01,1999.0,Fiction,Gabriel Garcia Marquez
16,354,4.19,1999.0,Fiction,Gabriel Garcia Marquez
22,355,3.31,2002.0,Fiction,Robert Cullen
77,356,3.98,2002.0,History,Michela Wrong
64,357,3.98,2002.0,Literary Criticism,Zora Neale Hurston
77,358,4.06,2000.0,Biography & Autobiography,Anthony Bourdain
42,359,3.97,2005.0,Biography & Autobiography,Jay Parini
14,360,3.72,2005.0,Fiction,Jeffrey Ford
77,361,3.88,2002.0,Science,Matt Ridley;Alan Lightman
64,362,3.75,2002.0,Philosophy,David Edmonds;John Eidinow
75,363,3.99,2004.0,Family & Relationships,Larry Koenig
89,364,4.21,2006.0,Fiction,Irvin Yalom
98,365,3.8,2000.0,Biography & Autobiography,Kuki Gallmann
59,366,4.05,2000.0,Biography & Autobiography,Charles Neider
78,367,3.9,2000.0,Fiction,Betty Smith
37,245,4.45,2005.0,"Body, Mind & Spirit",John O'Donohue
74,368,3.78,2005.0,Fiction,Russell Banks
66,369,3.65,2003.0,Philosophy,Colin McGinn
31,370,4.05,2000.0,Language Arts & Disciplines,Steven Pinker
96,371,4.0,2001.0,Fiction,Barbara Kingsolver
73,372,4.04,1989.0,Fiction,Armistead Maupin
14,373,3.9,1989.0,Social Science,Barbara Ehrenreich
80,374,3.43,1992.0,Fiction,Carroll John Daly
4,375,4.17,1998.0,History,Norman Davies
8,376,4.24,1992.0,Education,Jonathan Kozol
44,377,4.13,1992.0,Fiction,Richard Powers
78,378,3.84,1992.0,Fiction,Richard Powers
29,379,3.69,1996.0,Fiction,Oscar Hijuelos
55,380,3.54,1995.0,Fiction,Denis Johnson
68,381,3.59,1995.0,Fiction,Denis Johnson
59,382,3.62,1994.0,Fiction,Richard Powers
49,383,4.16,1995.0,Fiction,Amy Hempel
25,384,3.87,1996.0,Fiction,Richard Powers
51,385,3.93,1998.0,Fiction,Arundhati Roy
88,386,3.93,1999.0,History,James Davidson
12,387,3.61,1999.0,Fiction,Douglas Coupland
7,388,3.89,1999.0,Biography & Autobiography,Marilyn Manson;Neil Strauss
87,389,3.52,2000.0,Fiction,Gregory Maguire
68,390,4.16,2002.0,Biography & Autobiography,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars
1,391,3.95,2000.0,Fiction,Milan Kundera;Aaron Asher
33,392,4.21,2002.0,Fiction,Shirley Rousseau Murphy
80,393,3.7,1999.0,Fiction,Poppy Z. Brite
65,16,3.66,2001.0,Fiction,Margaret Weis;Tracy Hickman
21,394,3.97,2000.0,Fiction,Terry Pratchett
16,395,3.94,2001.0,Fiction,Patrick Robinson
16,396,4.04,1999.0,Fiction,Margaret Weis;Denise Little;Tracy Hickman
29,397,4.27,1997.0,Fiction,Iain Banks
79,398,4.18,1998.0,Fiction,Tananarive Due
69,399,4.15,2002.0,Fiction,Janny Wurts
5,400,3.88,1998.0,Fiction,Janny Wurts
90,401,3.6,1995.0,Fiction,Poppy Z. Brite
77,402,3.9,1996.0,Fiction,Shirley Rousseau Murphy
4,403,4.25,1999.0,Fiction,Shirley Rousseau Murphy
68,404,3.32,1997.0,Fiction,Orson Scott Card
46,405,3.39,1999.0,Fiction,Orson Scott Card
25,406,4.42,1995.0,Fiction,Clive Barker
3,407,3.83,1996.0,Fiction,Stuart Woods
82,408,3.88,1997.0,Fiction,Stuart Woods
76,409,4.04,1999.0,Fiction,Patrick Robinson
83,410,3.9,2006.0,Fiction,Zora Neale Hurston
33,411,4.26,2006.0,Fiction,Betty Smith
47,166,4.06,2006.0,Fiction,Gabriel Garcia Marquez
90,412,3.9,2006.0,Fiction,Isabel Allende
10,413,3.57,2006.0,Fiction,Paulo Coelho
44,414,3.85,2006.0,Fiction,Paulo Coelho
33,415,3.7,2006.0,Fiction,Paulo Coelho
92,416,3.59,2007.0,Juvenile Fiction,Margaret Wise Brown;Clement Hurd
41,417,4.16,2006.0,Juvenile Fiction,E. B. White
19,418,3.95,2006.0,Biography & Autobiography,Lauren Bacall
32,419,4.03,2006.0,Self-Help,Erich Fromm
44,420,3.96,2006.0,Fiction,Charles Bukowski
1,421,3.43,2006.0,Biography & Autobiography,Corinne Hofmann
46,422,4.24,2006.0,Juvenile Fiction,Julie Andrews Edwards
79,423,4.2,2006.0,Political Science,Paul Kengor
75,424,4.03,2006.0,Fiction,Paul Bowles
98,425,3.3,2006.0,Fiction,Paul Bowles
81,426,4.22,2006.0,Poetry,Allen Ginsberg;Barry Miles
2,427,4.05,2006.0,Fiction,Neil Gaiman
56,428,3.68,2006.0,Fiction,Paul Bowles
59,429,3.79,2007.0,Fiction,Cait London
62,430,3.31,2007.0,Fiction,Claudia Carroll
19,431,4.08,2006.0,Fiction,Neil Gaiman
39,432,4.17,2006.0,Religion,Sue Monk Kidd
60,433,3.91,2006.0,Fiction,Mary Stewart
55,434,4.01,2006.0,Fiction,Jodi Picoult
36,88,3.83,2006.0,Fiction,Edward P. Jones
77,435,3.92,2006.0,Fiction,Isabel Allende
44,436,3.87,2007.0,Fiction,Charles Bukowski
96,437,4.0,2007.0,Social Science,Carl Zimmer
46,438,4.34,2006.0,Antiques & Collectibles,Frank Warren
47,439,4.37,2007.0,Self-Help,Frank Warren
79,440,4.27,2006.0,Fiction,Harper Lee
54,441,4.61,2007.0,Religion,C. S. Lewis
26,442,4.06,2007.0,History,Zecharia Sitchin
51,443,4.13,1965.0,Philosophy,Ludwig Wittgenstein
90,444,4.07,1993.0,Self-Help,Robert A. Johnson
64,445,4.07,1991.0,History,Huston Smith
51,217,4.15,1993.0,Biography & Autobiography,Karen Armstrong
94,446,4.22,1994.0,Religion,Epictetus
69,447,3.65,1995.0,Fiction,Paulo Coelho;Alan R. Clarke
20,448,3.31,1996.0,Fiction,Paulo Coelho
9,449,4.12,2001.0,Health & Fitness,Rosita Arvigo;Nadine Epstein
36,450,4.21,1984.0,Religion,Madeleine L'Engle
67,451,4.1,1991.0,Reference,Richard P. Martin
70,452,3.73,1979.0,Art,Hugh Honour
57,453,4.07,1993.0,Juvenile Fiction,Maud Hart Lovelace
28,454,4.17,1993.0,Juvenile Fiction,Maud Hart Lovelace
98,455,4.29,1945.0,Juvenile Fiction,Maud Hart Lovelace
71,456,3.96,1985.0,Families,Rose Wilder Lane
94,457,3.83,1986.0,Juvenile Fiction,Bill Brittain
2,458,3.76,1988.0,Juvenile Fiction,Jane Leslie Conly
53,459,3.6,1990.0,Juvenile Fiction,Laurence Yep
94,460,3.52,1991.0,Juvenile Fiction,Jane Leslie Conly
70,461,3.75,1992.0,Juvenile Fiction,Laurence Yep
