user,item,rating,timestamp,feature Str,feature_second Str,feature_third Str
84,79,85.57,2008.0,X360,Shooter,Activision
85,80,85.0,2004.0,PS2,Racing,Electronic Arts
86,81,87.0,2002.0,PS2,Shooter,Electronic Arts
87,82,94.58,2006.0,Wii,Adventure,Nintendo
88,83,84.9,2011.0,X360,Shooter,Electronic Arts
89,84,93.32,2008.0,X360,Shooter,Microsoft Game Studios
90,85,75.73,2005.0,DS,Misc,Nintendo
91,86,89.0,1986.0,NES,Adventure,Nintendo
92,87,95.54,2001.0,XB,Shooter,Microsoft Game Studios
93,88,86.0,2004.0,GBA,Role-Playing,Nintendo
94,89,88.0,2000.0,GB,Role-Playing,Nintendo
95,90,81.31,2012.0,DS,Role-Playing,Nintendo
96,91,84.0,2011.0,PS3,Sports,Electronic Arts
97,92,85.0,2002.0,GC,Platform,Nintendo
98,93,92.0,1992.0,SNES,Fighting,Capcom
99,94,51.0,2010.0,Wii,Sports,505 Games
100,53,93.54,2007.0,PS3,Shooter,Activision
101,83,84.71,2011.0,PS3,Shooter,Electronic Arts
102,95,87.52,1999.0,PS,Action,GT Interactive
103,96,91.89,2004.0,PC,Role-Playing,Activision
104,97,80.0,2012.0,PS3,Action,Electronic Arts
105,98,84.77,2009.0,X360,Shooter,Microsoft Game Studios
106,99,95.0,2009.0,PS3,Action,Sony Computer Entertainment
107,100,95.04,2001.0,PS2,Action,Konami Digital Entertainment
108,101,90.0,1992.0,GEN,Platform,Sega
109,102,93.75,1998.0,PS,Action,Konami Digital Entertainment
110,103,91.49,2006.0,X360,Shooter,Microsoft Game Studios
111,104,90.77,2006.0,PS2,Role-Playing,Square Enix
112,105,88.0,2010.0,Wii,Platform,Nintendo
113,106,91.0,2002.0,PS2,Role-Playing,Sony Computer Entertainment
114,107,93.13,1998.0,PS,Action,Virgin Interactive
115,108,91.49,2011.0,X360,Shooter,Microsoft Game Studios
116,109,91.0,2011.0,PS3,Action,Sony Computer Entertainment
117,110,93.53,2008.0,PS3,Action,Konami Digital Entertainment
118,111,86.0,1996.0,PS,Fighting,Sony Computer Entertainment
119,112,87.98,2009.0,DS,Role-Playing,Nintendo
120,113,78.4,2012.0,3DS,Platform,Nintendo
121,4,86.0,1988.0,NES,Puzzle,Nintendo
122,114,89.0,1999.0,N64,Fighting,Nintendo
123,115,76.0,2010.0,X360,Sports,Microsoft Game Studios
124,116,82.0,2001.0,GBA,Platform,Nintendo
125,117,83.0,2001.0,GBA,Racing,Nintendo
126,118,93.0,2010.0,X360,Action,Take-Two Interactive
127,119,93.0,2001.0,GBA,Platform,Nintendo
128,120,67.67,2006.0,DS,Simulation,505 Games
129,121,73.0,1999.0,N64,Strategy,Nintendo
130,122,70.12,2001.0,PS2,Platform,Universal Interactive
131,118,93.0,2010.0,PS3,Action,Take-Two Interactive
132,123,90.71,2009.0,PS3,Action,Ubisoft
133,124,82.12,2008.0,PSP,Role-Playing,Capcom
134,125,92.26,2009.0,X360,Racing,Microsoft Game Studios
135,126,77.0,1989.0,GB,Puzzle,Nintendo
136,127,57.0,2012.0,Wii,Misc,Ubisoft
137,128,80.0,1999.0,GB,Misc,Nintendo
138,129,83.0,2000.0,PS,Role-Playing,Square
139,130,86.25,2003.0,PS2,Role-Playing,Electronic Arts
140,131,88.0,1999.0,N64,Platform,Nintendo
141,132,82.92,2007.0,X360,Adventure,Ubisoft
142,133,82.71,1997.0,PS,Adventure,Eidos Interactive
143,134,91.0,2004.0,PS2,Role-Playing,Square Enix
144,135,90.0,2003.0,GBA,Platform,Nintendo
145,136,85.0,1994.0,GB,Platform,Nintendo
146,137,91.0,2008.0,PS3,Platform,Sony Computer Entertainment
147,138,90.0,1995.0,SNES,Platform,Nintendo
148,139,73.0,2003.0,PS2,Shooter,Electronic Arts
149,140,81.0,1992.0,GB,Platform,Nintendo
150,141,73.0,1996.0,PC,Simulation,Microsoft Game Studios
151,142,90.0,2006.0,PS2,Misc,RedOctane
152,123,90.01,2009.0,X360,Action,Ubisoft
153,143,93.0,1999.0,GB,Platform,Nintendo
154,144,89.0,2007.0,DS,Adventure,Nintendo
155,145,83.0,2007.0,Wii,Action,LucasArts
156,146,88.0,1996.0,PS,Action,Virgin Interactive
157,147,89.0,1999.0,PS,Sports,Activision
158,65,73.0,2008.0,DS,Sports,Nintendo
159,148,73.37,1999.0,PS,Strategy,Eidos Interactive
160,149,86.0,1998.0,PS,Platform,Sony Computer Entertainment
161,79,85.04,2008.0,PS3,Shooter,Activision
162,150,86.0,2007.0,PS2,Misc,Activision
163,151,76.0,2007.0,Wii,Shooter,Nintendo
164,152,90.0,2007.0,DS,Adventure,Nintendo
165,153,84.15,2009.0,PS3,Role-Playing,Square Enix
166,154,85.15,2005.0,PS2,Sports,Electronic Arts
167,155,86.0,2010.0,PS3,Sports,Electronic Arts
168,156,80.23,2010.0,X360,Role-Playing,Microsoft Game Studios
169,157,84.0,2007.0,DS,Role-Playing,Nintendo
170,158,81.0,1997.0,N64,Racing,Nintendo
171,126,82.0,1990.0,NES,Puzzle,Nintendo
172,159,87.11,2009.0,PS3,Action,Capcom
173,160,91.78,1999.0,PS,Racing,Sony Computer Entertainment
174,161,87.54,2006.0,PSP,Action,Take-Two Interactive
175,162,69.2,2000.0,PS,Action,Atari
176,163,85.56,2012.0,PS3,Action,Ubisoft
177,164,77.87,2003.0,PS2,Racing,Vivendi Games
178,165,92.0,2000.0,PS,Sports,Activision
179,166,83.24,2002.0,PS2,Action,Electronic Arts
180,167,90.02,1996.0,PS,Action,Eidos Interactive
181,168,94.0,1991.0,SNES,Adventure,Nintendo
182,169,94.43,2002.0,GC,Adventure,Nintendo
183,170,89.0,2007.0,PS3,Action,Sony Computer Entertainment
184,171,92.63,2010.0,PS3,Action,Sony Computer Entertainment
185,132,79.3,2007.0,PS3,Adventure,Ubisoft
186,172,89.0,2004.0,PS2,Sports,Electronic Arts
187,150,88.0,2007.0,Wii,Misc,Activision
188,74,90.0,2011.0,PS3,Role-Playing,Bethesda Softworks
189,173,90.55,2010.0,X360,Action,Ubisoft
190,174,84.48,2006.0,PS2,Sports,Electronic Arts
191,175,75.63,2002.0,PS2,Action,Activision
192,97,81.0,2012.0,X360,Action,Electronic Arts
193,176,80.54,2000.0,PS,Role-Playing,Enix Corporation
194,145,82.0,2007.0,DS,Action,LucasArts
195,177,93.69,2005.0,PS2,Action,Sony Computer Entertainment
196,178,73.54,2008.0,Wii,Simulation,Nintendo
197,179,84.0,2001.0,PS2,Sports,Activision
198,180,86.31,2006.0,PS2,Sports,Konami Digital Entertainment
199,150,86.0,2007.0,X360,Misc,Activision
200,181,79.0,1987.0,NES,Adventure,Nintendo
201,182,78.0,2009.0,Wii,Sports,Nintendo
202,183,89.0,2005.0,PS2,Racing,Electronic Arts
203,173,76.2,2010.0,PS3,Action,Ubisoft
204,184,87.0,1991.0,GEN,Platform,Sega
205,185,70.0,2010.0,Wii,Misc,Ubisoft
206,186,72.08,2001.0,GBA,Misc,Namco Bandai Games
207,187,91.77,2004.0,PS2,Action,Konami Digital Entertainment
208,188,90.43,2011.0,PS3,Action,Warner Bros. Interactive Entertainment
209,189,94.75,1995.0,PC,Strategy,Activision
210,190,78.73,2005.0,PS2,Sports,Electronic Arts
211,191,77.0,2003.0,PS2,Misc,Sony Computer Entertainment
212,163,84.81,2012.0,X360,Action,Ubisoft
213,192,81.0,1984.0,NES,Racing,Nintendo
214,193,72.0,1997.0,PS,Action,Hasbro Interactive
215,194,87.0,2002.0,PS2,Sports,Electronic Arts
216,195,86.0,2006.0,PS3,Shooter,Sony Computer Entertainment
217,196,91.0,1995.0,SNES,Platform,Nintendo
218,197,79.81999999999998,2007.0,PS3,Racing,Sony Computer Entertainment
219,198,94.02,1997.0,PC,Shooter,Vivendi Games
220,199,88.5,2008.0,X360,Role-Playing,Microsoft Game Studios
221,200,81.4,2006.0,PS2,Sports,Electronic Arts
222,201,86.0,1992.0,SNES,Fighting,Capcom
223,202,93.0,2005.0,PS2,Role-Playing,Square Enix
224,203,86.45,2006.0,PSP,Platform,Sony Computer Entertainment
225,204,92.79,2007.0,PS2,Action,Capcom
226,91,84.0,2011.0,X360,Sports,Electronic Arts
227,205,88.49,2005.0,PS2,Sports,Konami Digital Entertainment
228,206,70.0,1996.0,PS,Misc,Sony Computer Entertainment
229,207,85.75,2000.0,PS2,Fighting,Namco Bandai Games
230,208,89.0,1997.0,N64,Shooter,Nintendo
231,209,92.85,2008.0,X360,Role-Playing,Bethesda Softworks
232,210,71.0,1984.0,NES,Sports,Nintendo
233,211,88.0,2007.0,X360,Racing,Microsoft Game Studios
234,212,91.01,2007.0,PC,Role-Playing,Activision
235,213,85.0,2008.0,PC,Role-Playing,Activision
236,214,68.0,2005.0,PS2,Misc,Namco Bandai Games
237,215,94.0,2006.0,X360,Role-Playing,Take-Two Interactive
238,216,88.0,2007.0,DS,Adventure,Nintendo
239,217,90.66,2011.0,X360,Racing,Microsoft Game Studios
240,218,59.23,2007.0,Wii,Misc,Take-Two Interactive
241,219,76.0,1994.0,GB,Platform,Nintendo
242,220,79.20999999999998,2011.0,X360,Action,Ubisoft
243,221,88.0,2003.0,PS2,Sports,Activision
244,222,91.0,2010.0,PC,Strategy,Activision
245,223,89.32,2005.0,PS2,Fighting,Namco Bandai Games
246,224,87.0,1988.0,NES,Role-Playing,Enix Corporation
247,225,90.83,2004.0,PS2,Sports,Konami Digital Entertainment
248,226,75.0,1995.0,PS,Misc,Sony Computer Entertainment
249,227,83.25,2009.0,Wii,Sports,Electronic Arts
250,220,80.05,2011.0,PS3,Action,Ubisoft
251,228,89.0,1992.0,GB,Adventure,Nintendo
252,229,61.0,2007.0,DS,Misc,Nintendo
253,230,85.0,1996.0,PS,Action,Virgin Interactive
254,231,82.74,2006.0,PS3,Racing,Sony Computer Entertainment
255,232,80.26,2002.0,PC,Simulation,Electronic Arts
256,233,62.0,2001.0,PS,Action,Electronic Arts
257,234,93.0,1998.0,PC,Strategy,Activision
258,235,70.26,2007.0,Wii,Misc,Nintendo
259,236,90.0,2009.0,DS,Role-Playing,Nintendo
260,237,88.21,1999.0,PS,Action,Eidos Interactive
261,238,88.0,2000.0,PS,Platform,Sony Computer Entertainment
262,239,96.09,2009.0,PS3,Action,Eidos Interactive
263,240,84.0,2004.0,PS2,Sports,Electronic Arts
264,241,78.0,1998.0,GB,Strategy,Nintendo
265,242,76.0,2009.0,DS,Misc,Nintendo
266,243,89.0,2002.0,PS2,Sports,Activision
267,244,92.38,1998.0,N64,Platform,Nintendo
268,245,83.4,2002.0,PS2,Shooter,Sony Computer Entertainment
269,188,93.88,2011.0,X360,Action,Warner Bros. Interactive Entertainment
270,246,86.0,2007.0,PSP,Platform,Sony Computer Entertainment
271,247,90.22,2001.0,PS2,Platform,Sony Computer Entertainment
272,248,93.25,2011.0,Wii,Adventure,Nintendo
273,249,78.0,1999.0,N64,Simulation,Nintendo
274,250,81.0,2007.0,PS2,Sports,Konami Digital Entertainment
275,251,80.0,2008.0,X360,Adventure,Activision
276,252,95.77,2005.0,PS2,Action,Capcom
277,253,85.0,2007.0,DS,Simulation,Electronic Arts
278,254,87.0,2004.0,PS2,Shooter,LucasArts
279,255,88.0,1994.0,PC,Shooter,GT Interactive
280,256,69.04,2001.0,PS2,Racing,Electronic Arts
281,257,79.43,2001.0,GC,Action,Nintendo
282,258,89.05,2009.0,X360,Shooter,Electronic Arts
283,259,89.0,2005.0,PS2,Shooter,LucasArts
284,260,81.0,2000.0,PS,Fighting,Unknown
285,261,74.5,2005.0,PSP,Racing,Take-Two Interactive
286,262,82.0,2008.0,Wii,Misc,Activision
287,70,78.03,2006.0,PS2,Action,Take-Two Interactive
288,263,73.0,2002.0,PS2,Action,Sony Computer Entertainment
289,264,78.01,1997.0,PS,Adventure,Eidos Interactive
290,265,86.0,2007.0,Wii,Platform,Nintendo
291,266,75.18,2001.0,PS2,Shooter,Electronic Arts
292,267,84.0,2005.0,PS2,Action,Eidos Interactive
293,268,86.0,2009.0,PS3,Sports,Electronic Arts
294,269,66.0,2000.0,PS,Action,THQ
295,270,89.0,1999.0,PS,Platform,Sony Computer Entertainment
296,271,87.0,1996.0,SNES,Platform,Nintendo
297,272,70.92,2007.0,DS,Simulation,505 Games
298,273,76.0,1985.0,NES,Action,Nintendo
299,274,62.78,1999.0,PC,Misc,Disney Interactive Studios
300,275,80.0,2010.0,PS3,Sports,Sony Computer Entertainment
301,155,86.0,2010.0,X360,Sports,Electronic Arts
302,276,89.0,1996.0,PC,Role-Playing,Activision
303,277,74.0,2008.0,DS,Misc,Activision
304,278,81.34999999999998,2002.0,PS2,Fighting,Namco Bandai Games
305,279,75.0,2011.0,Wii,Sports,Sega
306,280,75.0,1998.0,PS,Adventure,Take-Two Interactive
307,281,90.0,1994.0,SNES,Role-Playing,Square
308,282,80.97,2004.0,PS2,Action,Activision
309,283,66.0,1990.0,GB,Racing,Nintendo
310,284,81.0,2002.0,PS2,Sports,Electronic Arts
311,285,71.27,2000.0,PS,Misc,Sony Computer Entertainment
312,286,83.84,2010.0,X360,Role-Playing,Bethesda Softworks
313,287,90.0,2000.0,N64,Adventure,Nintendo
314,288,80.45999999999998,1998.0,PS,Fighting,Acclaim Entertainment
315,289,82.98,2006.0,DS,Misc,Nintendo
316,290,70.0,1998.0,PS,Adventure,THQ
317,291,85.0,2006.0,DS,Misc,Nintendo
318,182,76.0,2009.0,DS,Sports,Nintendo
319,292,82.29,2002.0,PS2,Shooter,Electronic Arts
320,293,90.0,2002.0,PS2,Platform,Sony Computer Entertainment
321,294,79.0,2005.0,PS2,Action,LucasArts
322,295,79.81,2001.0,PS2,Shooter,Take-Two Interactive
323,296,89.03,2010.0,X360,Shooter,Electronic Arts
324,159,86.32,2009.0,X360,Action,Capcom
325,297,91.45,2010.0,PC,Role-Playing,Activision
326,298,84.89,2003.0,PS2,Action,Electronic Arts
327,299,77.3,2003.0,PS2,Action,Activision
328,300,89.44,2008.0,X360,Shooter,Electronic Arts
329,301,77.0,1995.0,PS,Fighting,Sony Computer Entertainment
330,302,62.9,1999.0,PS,Shooter,Electronic Arts
331,303,86.0,1995.0,SNES,Fighting,Nintendo
332,304,39.0,1983.0,NES,Sports,Nintendo
333,305,85.0,2000.0,PS,Fighting,THQ
334,306,64.34,2008.0,Wii,Misc,Nintendo
335,307,89.0,1995.0,SNES,Role-Playing,Enix Corporation
336,308,71.0,2003.0,PS2,Action,Atari
337,309,90.89,2004.0,PC,Simulation,Electronic Arts
338,310,87.05,2009.0,DS,Adventure,Nintendo
339,311,85.92,2001.0,PS2,Simulation,Namco Bandai Games
340,312,86.36,2001.0,GC,Simulation,Nintendo
341,209,90.6,2008.0,PS3,Role-Playing,Bethesda Softworks
342,313,81.0,2007.0,PS2,Sports,Electronic Arts
343,314,85.96,2009.0,X360,Shooter,Take-Two Interactive
344,315,86.45,2000.0,PS,Action,Activision
345,316,84.0,1998.0,PS,Racing,Electronic Arts
346,317,84.0,1999.0,N64,Racing,Nintendo
347,318,88.0,1990.0,NES,Role-Playing,Enix Corporation
348,319,91.06,2008.0,PSP,Action,Sony Computer Entertainment
349,320,76.0,2002.0,PS2,Fighting,Atari
350,321,78.0,2006.0,DS,Misc,Nintendo
351,322,86.0,2001.0,PS2,Sports,Electronic Arts
352,323,90.0,1986.0,NES,Sports,Namco Bandai Games
353,324,84.0,1994.0,GB,Platform,Nintendo
354,325,77.3,2002.0,PC,Simulation,Electronic Arts
355,326,81.81,2007.0,PSP,Role-Playing,Square Enix
356,327,90.0,2008.0,DS,Adventure,Level 5
357,328,87.64,2012.0,PC,Role-Playing,Activision
358,329,84.0,2005.0,DS,Platform,Sega
359,330,79.0,1995.0,PS,Platform,Ubisoft
360,331,86.61,2009.0,PC,Simulation,Electronic Arts
361,332,92.59,2002.0,XB,Action,Ubisoft
362,333,83.0,2008.0,DS,Misc,Nintendo
363,68,93.0,2011.0,3DS,Adventure,Nintendo
364,334,89.0,1987.0,NES,Fighting,Nintendo
365,335,86.0,2002.0,PS2,Sports,THQ
366,336,68.0,2008.0,X360,Platform,Activision
367,337,76.0,2008.0,X360,Adventure,Activision
368,338,73.56999999999998,2007.0,PS2,Fighting,Atari
369,239,93.88,2009.0,X360,Action,Eidos Interactive
370,339,86.0,1993.0,SNES,Shooter,Nintendo
371,340,77.48,2000.0,PC,Misc,Electronic Arts
372,341,90.54,2002.0,PS2,Sports,Konami Digital Entertainment
373,342,92.6,2001.0,PS2,Action,Capcom
374,343,95.69,2010.0,X360,Role-Playing,Electronic Arts
375,344,86.55,2010.0,X360,Misc,MTV Games
376,345,70.6,2003.0,PS2,Platform,Sega
377,346,85.02,2002.0,PS2,Action,Eidos Interactive
378,347,77.0,2011.0,3DS,Simulation,Nintendo
379,348,90.67,1996.0,N64,Racing,Nintendo
380,349,86.99,2003.0,PS2,Shooter,Sony Computer Entertainment
381,350,91.0,2005.0,PS2,Fighting,THQ
382,351,80.0,2001.0,GBA,Puzzle,Atari
383,40,74.54,2009.0,PSP,Racing,Sony Computer Entertainment
384,352,91.0,2002.0,GBA,Platform,Nintendo
385,353,75.68,2004.0,PS2,Misc,Sega
386,354,92.97,2003.0,PS2,Sports,Konami Digital Entertainment
387,355,82.0,2001.0,PS2,Sports,Sony Computer Entertainment
388,356,90.56,2009.0,PS3,Shooter,Sony Computer Entertainment
389,357,77.18,2004.0,PS2,Shooter,Activision
390,358,87.0,1999.0,PS,Shooter,Sony Computer Entertainment
391,359,91.0,2011.0,PS3,Platform,Sony Computer Entertainment
392,360,88.82,1998.0,PS,Racing,Codemasters
393,361,79.5,2008.0,DS,Platform,Nintendo
394,362,87.0,2002.0,XB,Role-Playing,Ubisoft
395,363,72.53,2010.0,Wii,Platform,Disney Interactive Studios
396,364,62.0,2007.0,DS,Simulation,Ubisoft
397,365,73.0,1997.0,N64,Platform,Nintendo
398,366,83.0,1990.0,SNES,Racing,Nintendo
399,367,80.16,1992.0,PC,Shooter,id Software
400,368,91.0,1996.0,PC,Strategy,Virgin Interactive
401,369,69.08,2008.0,X360,Sports,Sega
402,370,62.81,2007.0,Wii,Simulation,505 Games
403,371,81.81999999999998,2006.0,Wii,Puzzle,Nintendo
404,372,86.0,2002.0,PS2,Fighting,THQ
405,337,81.0,2008.0,DS,Adventure,Warner Bros. Interactive Entertainment
406,373,88.58,2000.0,PC,Role-Playing,Havas Interactive
407,374,96.35,2002.0,GC,Shooter,Nintendo
408,375,59.0,2003.0,GBA,Action,THQ
409,376,90.0,2003.0,PS2,Fighting,THQ
410,74,91.0,2011.0,PC,Role-Playing,Bethesda Softworks
411,377,56.0,2007.0,DS,Simulation,Ubisoft
412,378,84.0,1997.0,PS,Sports,Sony Computer Entertainment
413,379,51.9,1998.0,PS,Platform,Sony Computer Entertainment
414,380,78.0,2001.0,PS2,Fighting,THQ
415,381,85.0,1996.0,PS,Fighting,GT Interactive
416,215,91.0,2007.0,PS3,Role-Playing,Ubisoft
417,382,88.0,2001.0,PS2,Sports,Electronic Arts
418,383,81.0,2009.0,X360,Sports,Electronic Arts
419,384,90.0,2003.0,PS2,Platform,Sony Computer Entertainment
420,385,91.0,2003.0,PS2,Platform,Sony Computer Entertainment
421,38,81.06999999999998,2003.0,PS2,Simulation,Electronic Arts
422,296,85.62,2010.0,PS3,Shooter,Electronic Arts
423,386,91.24,2007.0,X360,Role-Playing,Microsoft Game Studios
424,387,80.0,1992.0,SNES,Misc,Nintendo
425,388,86.0,2008.0,X360,Action,THQ
426,389,80.0,2000.0,N64,Strategy,Nintendo
427,390,72.0,1986.0,NES,Adventure,Nintendo
428,391,86.0,2011.0,PS3,Adventure,Take-Two Interactive
429,392,91.81,1999.0,PC,Strategy,Microsoft Game Studios
430,168,92.0,2002.0,GBA,Adventure,Nintendo
431,393,85.0,2001.0,PS2,Action,Virgin Interactive
432,394,82.0,1998.0,N64,Misc,Nintendo
433,395,92.17,2012.0,X360,Role-Playing,Electronic Arts
434,396,86.0,2006.0,PS2,Action,LucasArts
435,397,86.0,2006.0,DS,Platform,Nintendo
436,398,93.32,2004.0,PS2,Racing,Electronic Arts
437,399,83.0,1992.0,GEN,Fighting,Acclaim Entertainment
438,400,78.45,2005.0,PS2,Shooter,Activision
439,401,87.31,1998.0,PS,Shooter,Electronic Arts
440,402,85.36,2004.0,XB,Role-Playing,Microsoft Game Studios
441,332,88.13,2003.0,PS2,Action,Ubisoft
442,403,79.0,1986.0,NES,Platform,Nintendo
443,404,79.0,1996.0,N64,Action,Nintendo
444,405,45.0,2006.0,DS,Action,Disney Interactive Studios
445,406,71.0,2010.0,X360,Sports,Electronic Arts
446,407,76.98999999999998,2000.0,PS2,Racing,Take-Two Interactive
447,408,88.03,2004.0,PS2,Sports,Sega
448,409,72.0,2011.0,X360,Sports,Electronic Arts
449,410,82.36,2006.0,X360,Shooter,Activision
450,411,74.0,2002.0,PS2,Adventure,Electronic Arts
451,412,80.08,2010.0,DS,Puzzle,Nintendo
452,401,78.0,2010.0,PS3,Shooter,Electronic Arts
453,413,84.0,1990.0,GEN,Action,Sega
454,414,81.84999999999998,2004.0,PS2,Sports,Electronic Arts
455,415,86.17,2009.0,PS3,Action,Sony Computer Entertainment
456,416,96.12,2007.0,X360,Shooter,Take-Two Interactive
457,417,75.0,2007.0,Wii,Platform,Sega
458,418,87.0,2006.0,PS2,Fighting,THQ
459,419,92.0,2004.0,PS2,Platform,Sony Computer Entertainment
460,420,81.0,2006.0,PSP,Shooter,Electronic Arts
461,421,82.18,2006.0,PSP,Fighting,Sony Computer Entertainment
462,422,81.0,2007.0,PS2,Sports,Electronic Arts
463,268,87.0,2009.0,X360,Sports,Electronic Arts
464,423,83.0,2011.0,PC,Role-Playing,Electronic Arts
465,424,84.0,2001.0,GC,Platform,Sega
466,425,88.0,1987.0,NES,Role-Playing,Enix Corporation
467,426,81.0,2010.0,Wii,Platform,Nintendo
468,262,84.44,2008.0,X360,Misc,Activision
469,427,82.0,2008.0,X360,Action,LucasArts
470,428,78.0,2011.0,Wii,Sports,Majesco Entertainment
471,429,78.0,2003.0,GC,Role-Playing,Nintendo
472,430,74.0,2009.0,PS3,Racing,Electronic Arts
473,431,88.0,2011.0,X360,Sports,Take-Two Interactive
474,432,90.62,2009.0,PS3,Action,Sony Computer Entertainment
475,433,79.06999999999998,2001.0,PS2,Racing,Acclaim Entertainment
476,434,94.2,2000.0,N64,Action,Nintendo
477,435,88.0,2007.0,PSP,Role-Playing,Capcom
478,436,86.0,2008.0,PS3,Sports,Electronic Arts
479,437,79.65,2009.0,PS3,Fighting,Namco Bandai Games
480,438,82.0,2008.0,PS2,Sports,Konami Digital Entertainment
481,439,84.0,1999.0,N64,Misc,Nintendo
482,440,81.0,2008.0,X360,Sports,Electronic Arts
483,441,91.0,2003.0,XB,Action,Take-Two Interactive
484,442,79.43,2007.0,Wii,Sports,Nintendo
485,443,83.0,2002.0,PS2,Fighting,Midway Games
486,444,83.0,2008.0,DS,Simulation,Nintendo
